Article,Sentence,Span,Start,End
article703821117,"In the early days of the Warren Commission, commission chairman Earl Warren called a top-secret meeting of the commission.
",,-1,-1
article703821117,"Its purpose was to discuss information that Warren had received that Oswald was actually a U.S. intelligence agent or an informant for the FBI or both.
",,-1,-1
article703821117,"How did Warren resolve this troubling issue?
",,-1,-1
article703821117,"He simply asked the heads of the CIA and FBI whether it was true.
",,-1,-1
article703821117,"They said no.
",,-1,-1
article703821117,"That was the end of the matter.
",,-1,-1
article703821117,"The issue was so sensitive that Warren ordered the members of the commission to never reveal the meeting to the American people.
",to never reveal the meeting to the American people.,77,128
article703821117,"He ordered all notes and other written references to be destroyed.
",,-1,-1
article703821117,"He also ordered the court reporter to destroy her notes of the meeting.
",,-1,-1
article703821117,"Unbeknownst to him, the court reporter inadvertently kept a recording of the meeting that ultimately came to light.
",,-1,-1
article703821117,"This troubling issue arose again yesterday, November 2, in the Washington Post in an article entitled “Tantalizing Mystery of JFK Assassination Files Solved – 23 Years Ago.” In the article, author Ian Shapira points out that among the long-secret CIA records that were recently released was a deposition of former CIA Director Richard Helms taken in 1975 before the President’s Commission on CIA Activities, which stated as follows:
",Tantalizing Mystery,103,122
article703821117,"BELIN: Well, now, the final area of my interrogation relates to charges that the CIA was in some way conspiratorially involved with the assassination of President Kennedy.
",,-1,-1
article703821117,"During the time of the Warren Commission, you were Deputy Director of Plans, is that correct?
",,-1,-1
article703821117,"HELMS: I believe so.
",,-1,-1
article703821117,"BELIN: Is there any information involved with the assassination of President Kennedy which in any way shows that Lee Harvey Oswald was in some way a CIA agent or an age[nt.… The CIA, Terrorism, an... Jacob Hornberger Check Amazon for Pricing.
",,-1,-1
article703821117,"That’s where the transcript ends according to few secret records of the CIA that were recently released by the National Archives.
",,-1,-1
article703821117,"Shapira points out, “Several news organizations, including The Washington Post, seized on the truncated file as an example of the government’s continued secrecy about the assassination.” Shapira points out that Helms’ full deposition has been in the public arena since 1994.
",,-1,-1
article703821117,"(The year 1994 was during the tenure of the Assassination Records Review Board, the agency charged with securing the mandated release of JFK assassination records from the CIA and other federal agencies.
",,-1,-1
article703821117,"The ARRB Had been formed after Americans had learned of the official secrecy after watching Oliver Stone’s movie JFK, which posited that the JFK assassination was a U.S. regime-change operation, no different in principle from the one the CIA had carried out in Guatemala nine years before.)
",,-1,-1
article703821117,"Shapira then proceeds to provide the answer that Helms gave, which, as he points out, has been public:
",,-1,-1
article703821117,"HELMS: Mr. Belin, this question, and I think you may recall this, was raised at the time and the Agency was never able to find any evidence whatsoever, and we really searched that it had any contact with Lee Harvey Oswald.
",,-1,-1
article703821117,"As far as the FBI was concerned, my recollection is not all that precise.
",,-1,-1
article703821117,"I believe that Mr. Hoover testified that he had not been an agent of theirs either.
",,-1,-1
article703821117,"He was certainly not an agent of the CIA.
",,-1,-1
article703821117,"He was certainly never used by the CIA.
",,-1,-1
article703821117,"Whether any CIA officer ever talked to him any place or not I don’t know but I certainly felt quite comfortable — I believe Mr. [John] McCone [a previous CIA director] was asked to testify before the Commission on this point.
",,-1,-1
article703821117,"I believe he was asked to testify.
",,-1,-1
article703821117,"It was a hot item anyway at the time.
",,-1,-1
article703821117,"And my recollection is that I informed Mr. McCone that we could find no evidence that Oswald had any connection with the CIA.
",,-1,-1
article703821117,"Shapira ends his article by suggesting that commentators should do more complete research, maybe even use Google, before they jump to conclusions.
",,-1,-1
article703821117,"But Shapira would be wise to follow his own advice because he himself is guilty of what he accuses others of.
",But Shapira would be wise to follow his own advice because he himself is guilty of what he accuses others of.,0,109
article703821117,"That’s because he failed to conclude his article with one great big important point about former CIA Director Richard Helms.
",he failed to conclude his article with one great big important point about former CIA Director Richard Helms.,15,124
article703821117,"What is that great big important point that Shapira, who, according to his tagline on his article, “enjoys writing about people who have served in the military and intelligence communities,” left out of his article?
",great big important point,13,38
article703821117,"Perjury.
",,-1,-1
article703821117,"He left out that former CIA Director Richard Helms was a perjurer.
",,-1,-1
article703821117,"A liar.
",,-1,-1
article703821117,"A CIA official who would tell falsehoods, even under oath, whenever he felt that “national security” required it.
",,-1,-1
article703821117,"Shapira failed to note that Helms was convicted in a federal district court of lying to Congress under oath about another CIA regime-change operation ten years after the Kennedy assassination in Chile.
",Shapira failed to note that Helms was convicted in a federal district court of lying to Congress under oath,0,107
article703821117,"Interesting enough, in the Chile regime-change operation, the CIA and the Pentagon were telling their counterparts in the Chilean national-security establishment that they had a moral duty to violate their nation’s constitution and violently remove their nation’s democratically elected president, Salvador Allende, from office.
",violently remove ,232,249
article703821117,"The reason?
",,-1,-1
article703821117,"Allende was reaching out to the Russians and Cubans in a spirit of peace and friendship, just as Arbenz had done and just as Kennedy had done.
",,-1,-1
article703821117,"JFKu2019s War with the... Douglas Horne Check Amazon for Pricing.
",,-1,-1
article703821117,"Thus, given that Helms was an admitted perjurer and convicted liar, what value does his denial that Oswald was an intelligence agent have?
",admitted perjurer and convicted liar,30,66
article703821117,"It has no value at all.
",,-1,-1
article703821117,"And Shapira, who “enjoys writing about people who have served in the military and intelligence communities” had an ethical duty to point out Helms’ proclivity for lying in his article.
",who “enjoys writing about people who have served in the military and intelligence communities”,13,107
article703821117,"The circumstantial evidence overwhelmingly establishes that Oswald was working for U.S. intelligence.
",overwhelmingly ,28,43
article703821117,"How often have you ever heard of a U.S. Marine communist?
",,-1,-1
article703821117,"If Oswald was a genuine communist, why would he have joined the Marines in the 1950s, given that the Marines hated communists and had just helped kill millions of them in the Korean War?
",,-1,-1
article703821117,"Why would a genuine communist want to join an organization in which he could be ordered, on a moment’s notice, to return to Korea or be sent to Vietnam, Laos, China, the Soviet Union, or Europe to kill communists?
",,-1,-1
article703821117,"Don’t forget: this is the height of the Cold War!
",,-1,-1
article703821117,"After Oswald supposedly tried to “defect” to the Soviet Union and promised to give the Russians all the secrets he learned about in the military, why would U.S. officials agree to let him back in the country, and with a communist wife?
",communist wife?,220,235
article703821117,"Why wouldn’t they indict him or at least haul him before a federal grand jury to testify as to what secrets he gave the Russians?
",,-1,-1
article703821117,"Why wouldn’t they harass, abuse, humiliate, persecute, or prosecute him, like they did to Martin Luther King, Dalton Trumbo, John Walker Lindh, Chelsea Manning, Edward Snowden, and other people they have deemed to be communists or traitors?
","harass, abuse, humiliate, persecute, or prosecute him,",18,72
article703821117,"How is it possible that Oswald could learn fluent Russian while serving in the U.S. military without having U.S. military tutors teaching him?
",,-1,-1
article703821117,"How is it possible that a veteran who embarrasses the U.S. Marine Corps by openly proselytizing for communism in New Orleans is able to saunter across the Cold War stage of history, not long after the McCarthy hearings, without nary a care in the world?
",without nary a care in the world?,220,253
article703821117,"The answer: Helms lied.
",The answer: Helms lied.,0,23
article703821117,"There is no reasonable doubt that Oswald was a U.S. intelligence agent, one who was ordered to travel to Mexico City to set the framework for his frame-up.
","There is no reasonable doubt that Oswald was a U.S. intelligence agent,",0,71
article703821117,"But things obviously went dreadfully wrong in Mexico City, which is why the CIA had to shut down that part of the post-assassination investigation.
",dreadfully wrong ,26,43
article703821117,"Not surprisingly, the CIA’s Mexico City operations regarding Oswald are among the 98 percent of the records that Trump and the CIA have chosen to continue keeping secret from the American people, on grounds of “national security” of course.
","keeping secret from the American people,",155,195
article703821117,"Thus, when Oswald was claiming that he was being framed, there could be only one entity that he could have been thinking about: the CIA, the agency whose officials, as former Washington Post investigative reporter Jefferson Morley has documented, were secretly monitoring his activities in the weeks leading up to the assassination, no doubt to ensure that Oswald had not figured out what was about to happen to him.
","when Oswald was claiming that he was being framed, there could be only one entity that he could have been thinking about: the CIA,",6,136
article703821117,"We can assume that any frame-up by the CIA is going to be good.
",,-1,-1
article703821117,"The operation is going to be carefully planned and executed.
",,-1,-1
article703821117,"But no plan is perfect.
",But no plan is perfect.,0,23
article703821117,"Things are inevitably going to go wrong.
",,-1,-1
article703821117,"The pieces aren’t going to fit together perfectly.
",,-1,-1
article703821117,"The Mexico City operation is a good example of that.
",,-1,-1
article703821117,"That’s why the CIA has to continue keeping those records secret.
",That’s why the CIA has to continue keeping those records secret.,0,64
article703821117,"But here’s another example, a small but important one: Recall that Oswald supposedly hid the rifle before he headed down the steps from the sixth floor of the school book depository.
",,-1,-1
article703821117,"Ask yourself: If someone has just assassinated the president of the United States, is he really going to take the time to hide the rifle?
",,-1,-1
article703821117,"What good would that do?
",,-1,-1
article703821117,"Wouldn’t officials conduct a thorough search of the area?
",,-1,-1
article703821117,"Wouldn’t an assassin instead simply leave the rifle there and get out of there as soon as he could?
",,-1,-1
article703821117,"Then why the hidden rifle?
",,-1,-1
article703821117,"Because it’s consistent with a frame-up.
",,-1,-1
article703821117,"The framers had to hide the rifle in advance in a place where no one CIA & JFK: The Secret ... Jefferson Morley Check Amazon for Pricing.
",,-1,-1
article703821117,"would see it during the morning of the assassination, which took place after noon.
",,-1,-1
article703821117,"No matter how good a frame-up was, the CIA knew that it could be detected with an aggressive investigation.
",,-1,-1
article703821117,"That’s where ingenuity and cunning come into play.
",ingenuity and cunning come into play.,13,50
article703821117,"They had to figure out a way to shut down the investigation so that the frame-up would remain intact.
",,-1,-1
article703821117,"That’s why they had shots fired from the front and placed Oswald in the rear.
",That’s why they had shots fired from the front and placed Oswald in the rear.,0,77
article703821117,"The idea was that since an investigation would lead to Oswald’s supposed communist confederates in the front, which in turn would lead to nuclear war, the investigation had to be shut down immediately, especially since it was the CIA itself that had started the assassination game by repeatedly attempting, in partnership with the Mafia, to assassinate Castro.
",,-1,-1
article703821117,"It was one of the most brilliant and cunning ruses in history.
",one of the most brilliant and cunning ruses in history,7,61
article703821117,"They get the body out of Parkland by force, in violation of Texas law, and put it in the hands of the military in Maryland, which conducts a secret fraudulent and bogus autopsy.
",a secret fraudulent and bogus autopsy.,139,177
article703821117,"(See my book The Kennedy Autopsy.)
",See my book The Kennedy Autopsy.),1,34
article703821117,"Lyndon Johnson telephones Dallas District Attorney Henry Wade on the night of the assassination and orders him to shut down any investigation of a conspiracy because it might lead to nuclear war.
",orders him to shut down any investigation of a conspiracy because it might lead to nuclear war,100,194
article703821117,"As soon as Oswald is assassinated, the FBI orders Wade to turn over all his investigative files to the FBI.
",,-1,-1
article703821117,"At the same time, Deputy Attorney General Nicholas Katzenbach and FBI Head J. Edgar Hoover both write secret memos and reports saying any further investigation must stop immediately.
",,-1,-1
article703821117,"Lyndon Johnson gets Earl Warren and Sen. Richard Russel to join the Warren Commission by telling them that the assassination could lead to World War III.
",gets Earl Warren and Sen. Richard Russel to join the Warren Commission by telling them that the assassination could lead to World War III,15,152
article703821117,"Johnson appoints former CIA Director Allan Dulles, who Kennedy had fired as a result of the CIA’s regime-change operation at the Bay of Pigs, to the Warren Commission, thereby guaranteeing that there will be no investigation of the CIA.
",,-1,-1
article703821117,"Then keep all the records secret for decades, when many people won’t care anymore who killed President Kennedy.
",,-1,-1
article703821117,"And employ Operation Mockingbird-like journalistic assets in the private sector to flood the market with alternative “conspiracy theories” to confound and confuse the public.
",,-1,-1
article703821117,"And smear anyone who questions the official narrative as a “communist sympathizer” or a “conspiracy theorist.”
",,-1,-1
article703821117,"The CIA’s cunning cover-up in the JFK assassination worked brilliantly.
",worked brilliantly.,52,71
article703821117,"Thanks to President Trump and the CIA’s decision to continue keeping 98 percent of the CIA’s decades-long secret records secret from the American people, the CIA’s cunning cover-up of the JFK assassination continues to work brilliantly today.
","to continue keeping 98 percent of the CIA’s decades-long secret records secret from the American people,",49,153
article703821117,"Reprinted with permission from The Future of Freedom Foundation.
",,-1,-1
article703821117,"The Best of Jacob G. Hornberger
",,-1,-1
article704591553,"An Anti-Semitic Purge At McGill University
",,-1,-1
article704591553,"​Despite suffering several public and humiliating reversals in various forums and venues, those pushing for boycotts, divestment and sanctions (BDS) against Israel have not dispensed with their pernicious campaign of hate.
",public and humiliating reversals ,27,60
article704591553,"The latest outrage perpetrated by BDS activists occurred at McGill University, where a Jewish student and two non-Jewish students identified as pro-Israel were removed from their positions as directors of the Students Society of McGill University (SSMU).
",outrage ,11,19
article704591553,"At the end of his second year, Noah Lew, who is currently third year undergraduate student at McGill University, applied to serve as Director of the School’s student society.
",,-1,-1
article704591553,"He was warned by others who had prior dealings with the SSMU, to keep his Jewish identity secret lest he sabotage his chances.
","He was warned by others who had prior dealings with the SSMU, to keep his Jewish identity secret lest he sabotage his chances",0,125
article704591553,"This is the atmosphere that Jewish students and supporters of Israel must endure on a daily basis at McGill.
",,-1,-1
article704591553,"The toxic environment is due almost exclusively to an active and vocal presence of BDS agitators on campus.
",The toxic environment ,0,22
article704591553,"Lew followed the advice and was elected as a board member.
",,-1,-1
article704591553,"His “secret” was intact.
",,-1,-1
article704591553,"BDS provocateurs at McGill had relentlessly tried and failed to pass boycott resolutions against Israel.
",BDS provocateurs ,0,17
article704591553,"In fact, three attempts within an 18-month period were quashed.
",were quashed,50,62
article704591553,"Finally, in June 2016, SSMU’s Judicial Board ruled that the BDS campaign and efforts to institute it at McGill ran counter to the McGill’s undergraduate student union constitution.
",,-1,-1
article704591553,"The Board’s ruling, which is called a “reference,” was then referred to SSMU’s directors for ratification.
",,-1,-1
article704591553,"SSMU’s Board of Directors addressed the issue more than a year after the “reference.” Lew and other board members passionately advocated in favor of ratification and their arguments ultimately prevailed over the naysayers.
",passionately advocated ,114,137
article704591553,"The malevolent BDS campaign at McGill had belatedly come to an ignominious end; or so we thought.
",The malevolent BDS campaign ,0,28
article704591553,"Lew and two other directors identified as either Jewish or pro-Israel became instant targets of a campaign of hate laced with blatant anti-Semitic overtones.
",a campaign of hate laced with blatant anti-Semitic overtones,96,156
article704591553,"Campus BDS groups held several meetings to formulate a response and founded the so-called “Democratize SSMU” movement.
",,-1,-1
article704591553,"But Democratize SSMU was anything but democratic.
",But Democratize SSMU was anything but democratic,0,48
article704591553,"Its raison d'être was to seek the removal of Jewish and anti-BDS students from SSMU’s Board of Directors and place BDS back on the agenda.
",,-1,-1
article704591553,"As an aside, one of the more vocal proponents of BDS at McGill is a rancid character named Igor Sadikov, who in February posted a comment on twitter advocating violence against “Zionists.” As a result, he was forced to resign his position as an SSMU director but dodged an impeachment effort to have him stripped of his position at McGill’s Arts Undergraduate Society.
",,-1,-1
article704591553,"Sadikov made light of his “punch a Zionist” tweet calling it a “misguided joke.” It does not appear that Sadikov was subjected to any form of school disciplinary action despite the fact that his call for violence violated McGill’s Code of Conduct.
",punch a Zionist,27,42
article704591553,"McGill’s BDS Action Network actively campaigned against Lew and two other board members because of their links to Jewish groups and anti-BDS stances.
",,-1,-1
article704591553,"Democratize SSMU shamefully highlighted Lew’s ethnicity as a reason for his removal.
",shamefully ,17,28
article704591553,"An enlightened, progressive school was suddenly transformed into something harking back to the days of Nazi Germany and the Nuremberg Laws.
","An enlightened, progressive school was suddenly transformed into something harking back to the days of Nazi Germany and the Nuremberg Laws",0,138
article704591553,"In October, SSMU’s General Assembly moved to ratify the 12-member Board of Directors.
",,-1,-1
article704591553,"According to Lew, “historically, the Board of Directors had been ratified as a bloc, all 12 at a time.” But BDS activists who showed up for the General Assembly ratification forced the voting to occur on an individual basis rather than a block as was the accepted protocol.
",,-1,-1
article704591553,"In this manner, BDS/ Democratize SSMU activists managed to pick off their opponents one at a time.
",,-1,-1
article704591553,"It was repulsive display leftist-fascist bigotry at its worst.
",repulsive display leftist-fascist bigotry at its worst,7,61
article704591553,"The bigoted BDS provocateurs applauded as Lew and the other two board members were removed from their posts.
",The bigoted BDS provocateurs ,0,29
article704591553,"But this time, they may have gone too far.
",,-1,-1
article704591553,"Even by BDS standards, their manifestly anti-Semitic campaign antics were beyond the pale.
",their manifestly anti-Semitic campaign antics were beyond the pale,23,89
article704591553,"BDS activists generally avoid reference to “Jews” by name because it is impolitic and commonly substitute “Zionists” for Jews even though most of us are cognizant of their true intentions.
",,-1,-1
article704591553,"But in the instant case, McGill’s BDS campaigners dispensed with their traditional charade and overtly launched their attack against Jews.
",charade ,83,91
article704591553,"The vitriolic BDS campaign immediately sparked outrage among watchdog groups and politicians prompting McGill principal, Suzanne Fortier, to announce that the school would be conducting an investigation into the matter.
",The vitriolic BDS campaign ,0,27
article704591553,"Even SSMU president, Muna Tojiboeva, voiced support for Lew and expressed the belief that antisemitism played a key role in the ousting the three board members.
",,-1,-1
article704591553,"One can only hope that Fortier takes the issue seriously and conducts a proper investigation, which leads to disciplinary action.
",,-1,-1
article704591553,"Judging by past “investigations” conducted by other schools – SFSU, CUNY and UCI, to name a few – I am not optimistic.
","Judging by past “investigations” conducted by other schools – SFSU, CUNY and UCI, to name a few – I am not optimistic",0,117
article704856340,"New Audio From The Night Of The Las Vegas Massacre Reveals That There Was “Another Active Shooter” In The Bar At The Top Of The Mandalay Bay Hotel During The Attack
",,-1,-1
article704856340,"Newly released audio from the Clark County Fire Department has provided even more proof that there were multiple shooters during The Las Vegas Massacre, further debunking the official narrative of a lone gunman on the 32nd floor and once again calling into question almost every aspect of what actually happened during the worst mass shooting in American history.
",,-1,-1
article704856340,"The audio, released on the SoundCloud account of a local news reporter, is an almost three hour recording of transmissions between dispatch and units on the ground amid the confusion of the mass shooting that at one point details a report that a wife of a firefighter was actually pinned down in the Foundation Room bar on top of the Mandalay Hotel.
",,-1,-1
article704856340,"Intellihub’s Shepard Ambellas, who has extensively reported on the entire Vegas cover-up since the beginning, recently found that at around the 1:27:54 mark of the audio file you can clearly hear dispatch describing the situation to first responders who are headed in that direction.
",,-1,-1
article704856340,"“We have a firefighter’s wife at this event who is pinned down behind the bar at Mandalay Bay.
",,-1,-1
article704856340,"We are trying to get further on the name,” dispatch frantically notes.
",,-1,-1
article704856340,"“Batallion 6, be advised that we are getting reports on Mandalay Bay, at the bar, we currently have, another active shooter up there.”
",,-1,-1
article704856340,"After being asked to confirm the information, dispatch goes on to make clear that she is specifically speaking about the bar at the top of the hotel rather than anywhere near the 32nd floor room that Stephen Paddock supposedly operated from.
",,-1,-1
article704856340,"“The only information I have is it’s the bar on top of the Mandalay Bay,” dispatch continues before being asked if the shooter was pinned down or “just sheltering right now?”
",,-1,-1
article704856340,"Interestingly, the story doesn’t end there, as Ambellas wrote in his piece, author and entrepreneur Grant Cardone was actually holding an investors meeting in the very same bar shortly before the attack took place.
",,-1,-1
article704856340,"The popular social media influencer apparently left the Foundation Room literally seven minutes before authorities claim Paddock opened fire from his 32nd floor room.
",,-1,-1
article704856340,"Cardone wrote about his experience in a post on Medium in which he claimed that the Mandalay Bay was telling visitors that there was at least one active shooter, “moving” throughout the hotel shooting people.
",,-1,-1
article704856340,"It was reported by the Mandalay there was a shooter moving through the hotel.
",,-1,-1
article704856340,"I told Elena and Johnny, “stay close to me, we are not running out, stay calm, there is one person in charge — where I go, you follow, no matter what.” […] About this time, there was starting to be a lot more activity through the casino and now the reports suggested there was active multiple terrorists moving through the hotel shooting guest.
",,-1,-1
article704856340,"Then twitter started showing up with feeds suggesting multiple hotels being attacked, bomb threats, and more.
",,-1,-1
article704856340,"This new report documenting yet another instance of a possible second shooter comes on the heels of dozens of similar reports, with the most recent arriving in the form of air traffic control audio that directly stated that there were active shooters on the runway.
",,-1,-1
article704856340,"“During the air traffic control recordings, which were released by political strategist and co-founder of “The New Right” Mike Tokes, one of the dispatchers is heard telling an incoming plane that landing might not be a good idea because there were multiple active shooters on the airport property itself,” SHTFplan reported.
",,-1,-1
article704856340,"“Shutting down might not be a good idea, there’s active shooters on the runway,” he declared.
",,-1,-1
article704856340,"“The 19s are closed, we are in the process of trying to round them up, they are on the airport property.”
",,-1,-1
article704856340,"Air traffic control tapes on the night of the Las Vegas shooting: “There’s active shooters on the runway.
",,-1,-1
article704856340,"They’re on the airport property” pic.twitter.com/HZf3LBeAgk — Mike Tokes (@MikeTokes) October 29, 2017
",,-1,-1
article704856340,"Slowly but surely we are beginning to see the truth about the horrific attack come to light despite authorities desperately trying to prevent it from reaching the American people.
",,-1,-1
article704856340,"Sadly, the picture emerging is one that includes a shocking amount of evidence pointing towards a classic deep state false flag operation.
",,-1,-1
article705035735,"New Virus With NO CURE Spreading: This Is WORSE Than The ‘Black Death’
",New Virus With NO CURE Spreading,0,32
article705035735,"A new virus for which medical officials have no remedy is spreading.
",,-1,-1
article705035735,"The infectious disease also has a fatality rate of almost 90% making it much more deadly than the black death plaguing Madagascar.
",black death,98,109
article705035735,"A deadly outbreak of a rare and highly fatal virus has broken out in eastern Uganda and five cases have already been identified, the World Health Organization (WHO) has confirmed.
",,-1,-1
article705035735,"The disease is known as the Marburg virus.
",,-1,-1
article705035735,"It is similar to the Ebola virus and can be fatal in up to 88% of cases.
",,-1,-1
article705035735,"The outbreak of the contagious and deadly Marburg virus disease in the Kween district of eastern Uganda was declared by the nation’s Ministry of Health back on October 19.
",,-1,-1
article705035735,"Since then, five cases have been identified as international aid agencies, stretched thin by Madagascar’s black death outbreak, have rushed to deploy teams on the ground to control the recent outbreak.
",,-1,-1
article705035735,"This news comes amid a surge in cases of plague in Madagascar, which is considered to be the “worst outbreak in 50 years” and now at “crisis” point.
",“worst outbreak in 50 years”,93,121
article705035735,"Marburg virus disease (MVD), which causes severe viral hemorrhagic fever, ranks among the most virulent pathogens known to infect humans, according to the World Health Organization.
",,-1,-1
article705035735,"The WHO website reads: “Marburg virus disease is a rare disease with a high mortality rate for which there is no specific treatment.
",Marburg virus disease is a rare disease with a high mortality rate for which there is no specific treatment.,24,132
article705035735,"The virus is transmitted by direct contact with the blood, body fluids, and tissues of infected persons or wild animals (e.g.
",,-1,-1
article705035735,"monkeys and fruit bats).” MVD also falls within the same family as the Ebola virus – the hemorrhagic fever that decimated West Africa and killed around 11,000 in 2014 and 2015.
",,-1,-1
article705035735,"The outbreak is thought to have begun in September when a man in his 30s, who worked as a game hunter and lived near a cave with a heavy presence of bats, was admitted to a local health center with a high fever, vomiting, and diarrhea.
",,-1,-1
article705035735,"The man’s condition deteriorated quickly and he failed to respond to antimalarial treatments.
",,-1,-1
article705035735,"He died after being taken to another hospital, and a short time later, his sister in her 50’s also died of the same ailment.
",,-1,-1
article705035735,"Emergency screening has begun at the Kenya-Uganda border in Turkana after all three members of the same family died of the disease in Uganda.
",,-1,-1
article705035735,"Health workers have been asked to work with communities to stop the deadly Marburg outbreak from devastating communities in the rural region.
",devastating communities,97,120
article705035735,"Dr. Zabulon Yoti, a Technical Coordinator for Emergencies at the World Health Organization (WHO) Regional Office for Africa, said: “Community engagement is the cornerstone of emergency response.” He urged health officials to “work with the communities to build their capacity for success and sustainability” and develop a better understanding of the local customs and traditions.
",“Community engagement is the cornerstone of emergency response.”,131,195
article705035735,"Early symptoms include fever, chills, headache, and myalgia (muscle pain).
",,-1,-1
article705035735,"Several hundred people have been exposed to the virus as officials worry this outbreak could spread rapidly into regions already devastated by the ongoing black death outbreak.
",outbreak could spread rapidly,78,107
article705409419,"﻿Vatican Theologian Sacked for Questioning “Merciful” Pope’s Pontificate
",,-1,-1
article705409419,"By now the whole Catholic world has heard of the publication of a devastating letter to Pope Francis from Father Thomas G. Weinandy.
",a devastating letter,64,84
article705409419,"The former head of the theological secretariat of the U.S. Bishop’s conference, Fr.
",,-1,-1
article705409419,"Weinandy has taught at both Oxford and the Pontifical Gregorian University in Rome.
",,-1,-1
article705409419,"None other than Francis appointed Fr.
",,-1,-1
article705409419,"Weinandy to the International Theological Commission and awarded him the Pro Pontifice et Ecclesiae medal, the ecclesial equivalent of the Congressional Medal of Honor, for his work on behalf of the Pope and the Church.
",,-1,-1
article705409419,"One of the world’s most renowned theologians, Fr.
",,-1,-1
article705409419,"Weinandy is a “man of the Council” and a prominent figure of the post-conciliar mainstream.
",,-1,-1
article705409419,"Yet Fr.
",,-1,-1
article705409419,"Weinandy’s letter, sent to Francis privately last summer but predictably ignored by him—along with every other private entreaty concerning his destructive activity—is a withering indictment of a papacy that constitutes nothing less than a menace to the Church.
",a withering indictment of a papacy that constitutes nothing less than a menace to the Church,167,259
article705409419,"The key passages (paragraph breaks added) rebuke Francis for his recklessness, his deliberate ambiguity, his fomenting of error, his sowing of disunity, his unheard-of calumnies of the faithful, and even his reduction of the faith to an ideology—precisely the wrong of which he accuses orthodox Catholics:
",,-1,-1
article705409419,"Your Holiness, a chronic confusion seems to mark your pontificate….
",a chronic confusion seems to mark your pontificate….,15,67
article705409419,"This fosters within the faithful a growing unease ….
",,-1,-1
article705409419,"In ""Amoris Laetitia,"" your guidance at times seems intentionally ambiguous, thus inviting both a traditional interpretation of Catholic teaching on marriage and divorce as well as one that might imply a change in that teaching….
",,-1,-1
article705409419,"To teach with such a seemingly intentional lack of clarity inevitably risks sinning against the Holy Spirit, the Spirit of truth.
","To teach with such a seemingly intentional lack of clarity inevitably risks sinning against the Holy Spirit, the Spirit of truth.",0,129
article705409419,"The Holy Spirit is given to the Church, and particularly to yourself, to dispel error, not to foster it.
",,-1,-1
article705409419,"[Y]ou seem to censor and even mock those who interpret Chapter 8 of ""Amoris Laetitia"" in accord with Church tradition as Pharisaic stone-throwers who embody a merciless rigorism.
",Pharisaic stone-throwers who embody a merciless rigorism.,121,178
article705409419,"This kind of calumny is alien to the nature of the Petrine ministry….
",,-1,-1
article705409419,"Such behavior gives the impression that your views cannotsurvive theological scrutiny, and so must be sustained by “ad hominem” arguments.
",,-1,-1
article705409419,"[T]oo often your manner seems to demean the importance of Church doctrine.
",,-1,-1
article705409419,"Again and again you portray doctrine as dead and bookish, and far from the pastoral concerns of everyday life.
",,-1,-1
article705409419,"Your critics have been accused, in your own words, of making doctrine an ideology.
",,-1,-1
article705409419,"But it is precisely Christian doctrine… that frees people from worldly ideologies and assures that they are actually preaching and teaching the authentic, life-giving Gospel.
",,-1,-1
article705409419,"Those who devalue the doctrines of the Church [i.e., Francis!]
",,-1,-1
article705409419,"separate themselves from Jesus, the author of truth… What they [i.e., Francis] then possess, and can only possess, is an ideology – one that conforms to the world of sin and death.
",,-1,-1
article705409419,"[F]aithful Catholics can only be disconcerted by your choice of some bishops, men who seem not merely open to those who hold views counter to Christian belief but who support and even defend them.
",,-1,-1
article705409419,"What scandalizes believers, and even some fellow bishops, is not only your having appointed such men to be shepherds of the Church, but that you also seem silent in the face of their teaching and pastoral practice….
",,-1,-1
article705409419,"As a result, many of the faithful, who embody the ""sensus fidelium,"" are losing confidence in their supreme shepherd.
",,-1,-1
article705409419,"[T]he Church is one body, the Mystical Body of Christ, and you are commissioned by the Lord himself to promote and strengthen her unity.
",,-1,-1
article705409419,"But your actions and words too often seem intent on doing the opposite….
",,-1,-1
article705409419,"You have often spoken about the need for transparency within the Church.
",,-1,-1
article705409419,"You have frequently encouraged… all persons, especially bishops, to speak their mind and not be fearful of what the pope may think.
",,-1,-1
article705409419,"But… what many [bishops] have learned from your pontificate is not that you are open to criticism, but that you resent it… Many fear that if they speak their mind, they will be marginalized or worse.
",,-1,-1
article705409419,"I have often asked myself: ""Why has Jesus let all of this happen?""
",,-1,-1
article705409419,"The only answer that comes to mind is that Jesus wants to manifest just how weak is the faith of many within the Church, even among too many of her bishops.
","The only answer that comes to mind is that Jesus wants to manifest just how weak is the faith of many within the Church, even among too many of her bishops.",0,156
article705409419,"Ironically, your pontificate has given those who hold harmful theological and pastoral views the license and confidence to come into the light and expose their previously hidden darkness….
",,-1,-1
article705409419,"Father Weinandy reveals that he decided to publicize this historic missive only after receiving an unmistakable sign from heaven.
",,-1,-1
article705409419,"As he recounts here, after repeatedly “beseeching Jesus and Mary, St. Peter and all of the saintly popes who are buried there to do something to rectify the confusion and turmoil within the Church today, a chaos and an uncertainty that I felt Pope Francis had himself caused,” he asked for a minutely specific sign from heaven on whether he should write the letter: that the next day he would meet someone he had not seen in a very long time, would never expect to see in Rome, and was not from the United States, Canada or Great Britain, which person would utter the particular phrase: “Keep up the good writing.”
",,-1,-1
article705409419,"At lunch the next day, the sign was given.
",,-1,-1
