id,span,propaganda
3119,"“Sundar” presumably refers to Google’s chief executive officer Sundar Pichai, who took the reins of the massive search giant in October 2015.",0
3120,"Even Sundar gave the effort a shout out and a comment in Spanish, which was really special.",0
3121,"I sent Philipp a note yesterday to thank him because he and others voiced their support for this too, and we greatly appreciate it.",0
3122,"Objectively speaking, our goal was met — we pushed and successfully launched the search features in Spanish, and we thank Lisa for her support in advocating for this work.",0
3123,Without translating our tools the users wouldn’t have found the information they needed.,0
3124,We will be pulling in more info in the coming hours/days but so far we definitely know there was high traffic on search in Spanish.,0
3125,"We saw high traffic for the search queries ‘votar,’ ‘como votar,’ and ‘donde voter,’ in key states like Florida and Nevada.",0
3126,A large percentage of Latino voters in Florida were new voters who had become citizens just in time to vote.,0
3127,voted in record-breaking numbers,1
3128,"We emphasized our mission to give Latinos access to information so that they can make an informed decision at the polls, and we feel very grateful for all the support to do this important work.",0
3129,non-partisan ,1
3130,"We pushed tp get out the Latino vote with our features, our partners, and our voices.",0
3131,Many people did.,0
3132,We worked very hard.,0
3133,Murillo wrote at the outset of the lengthy message:,0
3134,blew prognosticators away,1
3135,"critical miscalculation, Murillo wrote in a stunning admission ",1
3136,non-partisan activities ,1
3137,"The main email, headlined, “Election results and the Latino vote,” was sent on Nov. 9, 2016—the day after Clinton’s loss to Trump in the 2016 presidential election—by Eliana Murillo, Google’s Multicultural Marketing department head.",0
3138,silent donation,1
3139,a get-out-the-vote for Hispanic voters operation,1
3140,"An email chain among senior Google executives from the day after the 2016 presidential election reveals the company tried to influence the 2016 United States presidential election on behalf of one candidate, Democrat Hillary Rodham Clinton.",0
3141,From Breitbart:,0
3142,When will something be done about these tech and social media companies,1
3143,"First censorship, now this.",0
3144,Latinos ,1
3145,You also agree to this site's Privacy Policy and Terms of Use.,0
3146,You may opt out at anytime.,0
3147,Completing this poll grants you access to Freedom Outpost updates free of charge.,0
3148,take our poll - story continues below,0
3149,"This time, an email chain has emerged showing senior company executives pressing for the company to sway Latino voters to back Hillary Clinton.",0
3150,This time?,0
3151,to control and shutter conservative ideas,1
3152,Silent Donation,1
3153,The Best of Tyler Durden,0
3154,Reprinted with permission from Zero Hedge.,0
3155,VS:,0
3156,Google has yet to answer why their search results for the word “Idiot” are vastly different from DuckDuckGo,1
3157,"So, despite Google’s best efforts to help Clinton win the election, it simply wasn’t enough.",0
3158,–Breitbart,0
3159,a dramatic effect ,1
3160,His latest research looks at how search engines can affect voters by suggesting negative or positive search terms when a political candidate’s name is entered into the search bar.,0
3161,"This research showed that the manipulation of results pages in search engines can shift the voting preferences of undecideds by anywhere between 20 and 80 percent, depending on the demographic.",0
3162,"The lead author of the study, Dr. Robert Epstein, has previously conducted research into what he calls the Search Engine Manipulation Effect (SEME).",0
3163,according to a Breitbart report by Allum Bokhari,1
3164,They are donating the Google plane for the Africa trip”,0
3165,He says he’s met with HRC” and adds that “FYI.,0
3166,Another email from February 2015 suggested that the Google Chairman remained active in its collaboration with the Clinton campaign: John Podesta wrote that Eric Schmidt met with HR “about the business he proposes to do with the campaign.,0
3167,"If you are, and want to meet with him, maybe the four of us can get on t",0
3168,You around?,0
3169,I think it’s worth doing.,0
3170,He’s still in DC tomorrow and would like to meet with you if you are in DC in the afternoon.,0
3171,Clearly wants to get going.,0
3172,"Clearly wants to be head outside advisor, but didn’t seem like he wanted to push others out.",0
3173,Wasn’t pushing to run through one of his existing firms.,0
3174,He was more deferential on structure than I expected.,0
3175,"As David reported, he’s ready to fund, advise recruit talent, etc.",0
3176,I met with Eric Schmidt tonight.,0
3177,"As a reminder, in late October of 2016 it was revealed that just days prior to the April 15, 2014 email, Schmidt had sent another email in which he expressed his eagerness to “fund” the campaign efforts and wants to be a “head outside advisor.” In the email from John Podesta to Robby Mook we learned that:",0
3178,"A dynamic volunteer can easily speak with a voter and, with their email or other digital handle, get the voter videos and other answers to areas they care about (“the benefits of ACA to you” etc.)",0
3179,"In 2016 smart phones will be used to identify, meet, and update profiles on the voter.",0
3180,Key is the development of a single record for a voter that aggregates all that is known about them.,0
3181,Guilty as Sin,1
3182,This is simply a draft but do let me know if this is a helpful process for you all.”,0
3183,"In an April 15, 2014 email from Google’s then-Executive Chairman Eric Schmidt found in the WikiLeaked Podesta emails, titled “Notes for a 2016 Democratic Campaign,” Schmidt tells Cheryl Mills that “I have put together my thoughts on the campaign ideas and I have scheduled some meetings in the next few weeks for veterans of the campaign to tell me how to make these ideas better.",0
3184,"This, of course, isn’t the first evidence of Google doing all they could to help Hillary win the election.",0
3185,Maybe that’s why they refused to appear before Congress last week,1
3186,caught red-handed ,1
3187,Watch:,0
3188,–Tucker Carlson,0
3189,No one did,1
3190,We never anticipated that 29% of Latinos would vote for Trump.,0
3191,"As Mario herself conceded “ultimately after all was said and done, the Latino community did come out to vote, and completely surprised us.",0
3192,"… In the end, Google was disappointed.",0
3193,"… It was, in effect, an in-kind contribution to the Hillary Clinton for President campaign.",0
3194,Hispanics – ALL Hispanics are in President Trump’s “crosshairs,1
3195,vocally partisan,1
3196,a non-partisan entity,1
3197,a “silent donation,1
3198,did record-breaking numbers,1
3199,Mario touts Google’s multi-faceted efforts ,1
3200,"The email was sent by the former head of Google’s multicultural marketing department, Eliana Mario, on November 9, 2016.",0
3201,blew the cover off the 2016 election influence charade,1
3202,Google Was ‘Working To Get Hillary Clinton Elected’,0
3203,"— Donald J. Trump (@realDonaldTrump) September 11, 2018",0
3204,NOTHING is being done ,1
3205,disgraced anti-Trump FBI agent ,1
3206,A report by a research team earlier this year found that Google can manipulate opinions of undecided voters by inserting negative search suggestions under the name of a candidate.,0
3207,Among the strategies was the creation of a voter tracking database using smart phones.,0
3208,"Emails obtained by WikiLeaks showed correspondence between Schmidt and Clinton, along with a number of Clinton operatives discussing strategy meetings and campaign ideas.",0
3209,WikiLeaks’ Julian Assange revealed two years ago that Google CEO Eric Schmidt and a number of Google employees created a company in 2015 specifically to place Clinton the White House.,0
3210,"Of course, anyone who paid attention was aware of Google’s attempts to interfere on Clinton’s behalf.",0
3211,The assistance Google provided to the Clinton campaign likely violated election laws and served as an unreported in-kind contribution.,0
3212,No one did,1
3213,We never anticipated that 29% of Latinos would vote for Trump.,0
3214,"also brags that Google, “used its power to ensure that millions of people saw certain hashtags and social media impressions, with the goal of influencing their behavior during the election",1
3215,record-breaking numbers,1
3216,touts Google’s multi-faceted efforts ,1
3217,According to Carlson:,0
3218,"The email was forwarded to Google vice presidents and other staff members throughout the company, Carlson said.",0
3219,"The email was sent by Eliana Murillo, the former head of Google’s multicultural marketing department.",0
3220,a “silent donation,1
3221,And Google likely violated federal election laws — not to mention the privacy of its users — in the services it provided the Clinton campaign.,0
3222,a couple hundred thousand dollars of ad spends and some Russian bots on Facebook swayed the election to Donald Trump,1
3223,silent donations,1
3224,"Visit his site at JamieGlazov.com, follow him on Twitter: @JamieGlazov, and reach him at [email protected]",0
3225,"His new book is Jihadist Psychopath: How He is Charming, Seducing, and Devouring Us.",0
3226,"He is the editor of Frontpagemag.com, the author of the critically-acclaimed, United in Hate: The Left’s Romance with Tyranny and Terror, and the host of the web-tv show, The Glazov Gang.",0
3227,"Jamie Glazov holds a Ph.D. in History with a specialty in Russian, U.S. and Canadian foreign policy.",0
3228,"contemptuous, snickering and roaring laughter ",1
3229,the crippling effect ,1
3230,vigorously defend ,1
3231,"Bill Maher, for whatever unappealing drawbacks he has in conservatives’ eyes, has set a bold standard in this respect in his Burka Fashion Show skit.",0
3232,baffling and shameful silence ,1
3233,vicious and potent ,1
3234,Ridicule the Enemy.,0
3235,9.,0
3236,"And whatever the answer, it does not mean that the effort to empower Muslims who want to make the anti-jihadist Islamic vision possible should not be made.)",0
3237,But the debate over this belongs in another forum.,0
3238,Islam cannot be Islam without Jihad,1
3239,(P.S.,0
3240,brave Muslim individuals who genuinely reject Jihad ,1
3241,noble and courageous individuals ,1
3242,we need to bring in people who actually love America and want to protect it,1
3243,Instead of having Muslim Brotherhood sympathizers like Mohamed Elibiary serving on the U.S.,0
3244,Counter-Jihadists ,1
3245,8.,0
3246,absurdly and tragically,1
3247,(This will be a part of Gorka’s suggested counter-propaganda campaign discussed in Step #5).,0
3248,As Robert Spencer counsels,1
3249,buffer their lip-service against terror ,1
3250,the suicidal leftist notion ,1
3251,"Put Pressure on Mosques, Islamic Groups and Schools.",0
3252,7.,0
3253,"Indeed, once the government discerns and labels the elements of Islamic law that threaten the American Constitution, any preaching and spreading of those elements in America must be labelled as seditious.",0
3254,remember how CAIR advised Muslims not to talk to the FBI).,0
3255,jihadis ,1
3256,Affirm Sharia’s Assault on the U.S. Constitution as Seditious.,0
3257,6.,0
3258,the jihadists,1
3259,"This has to also involve, as Gorka urges, “a nationwide program of education that includes the armed services as well as federal, state, and local police forces and the intelligence community.”",0
3260,unbelievers,1
3261,"Consequently, educational programs have to be set up everywhere, from public schools to universities to workplaces, in businesses and numerous other institutions.",0
3262,"Sebastian Gorka is crucially correct, therefore, when he recommends a national counter-propaganda campaign that involves a two-part approach",1
3263,Zilch,1
3264,What does our propaganda war entail?,0
3265,The Left and Islamists engage in propaganda 24/7.,0
3266,Launch Our Own Counter-propaganda Campaign.,0
3267,5.,0
3268,It is absolutely mind-boggling that nothing of this sort exists today in our terror war — and it is a reflection of the Left being in charge and of the destructive defeat that it is sowing.,0
3269,"Most importantly, as Sebastian Gorka urges in Defeating Jihad: The Winnable War, the government needs to lay down a vision, an actual “threat doctrine analysis” in a thorough document, just like George Kennan’s Long Telegram and NSC-68 did in laying out the strategic foundation to fighting communism in the Cold War.",0
3270,Jihadists ,1
3271,Countering Violent Extremism,1
3272,Countering-Jihad” Strategy,1
3273,4.,0
3274,"as Robert Spencer advises, there needs to be legislation that will bar all such groups and affiliated individuals from advising the government or receiving any grants from it",1
3275,to destroy our civilization from within ,1
3276,"The government needs to stop cooperating with, and listening to, Muslim Brotherhood front groups such as CAIR and ISNA immediately.",0
3277,Stop “Partnering” With Muslim Brotherhood Front Groups.,0
3278,3.,0
3279,Countering Violent Extremism,1
3280,violent extremists,1
3281,"On the other hand, this focus allows the administration to perpetuate the destructive fantasy that there are other types of “extremists” — who just happen to be the Left’s political opponents — that pose a great threat to the country",1
3282,completely incapacitates us,1
3283,Countering Violent Extremism,1
3284,Countering Violent Extremism,1
3285,2.,0
3286,Islamic law).,0
3287,Islamic Jihad) and definitively identify what ideology inspires our enemy (i.e.,0
3288,It is urgent that we name our enemy (i.e.,0
3289,"The Obama administration continues to refuse to label our enemy and, therefore, it continues to enable our defeat in the terror war",1
3290,Label the Enemy and Make a Threat Assessment.,0
3291,1.,0
3292,"Below are 9 concrete steps that, if implemented by a future American administration, would make a big difference in preserving our civilization and in defending Americans from terrorism",1
3293,stealth Jihad,1
3294,By Jamie Glazov,0
3295,9 Steps to Successfully Counter Jihad.,0
3296,*,0
3297,We find the article more relevant and urgent than ever due to the 17th anniversary of 9/11 approaching tomorrow:,0
3298,"Frontpage is most confident that the suggested steps below will continue to be the overall focus of the new administration -- which, thankfully, is now taking many of the crucial and constructive steps vis-à-vis our enemy.",0
3299,the disastrous Obama administration,1
3300,"We are, therefore, reprinting below Frontpage editor Jamie Glazov’s July 12, 2016 Breitbart article, ""9 Steps to Successfully Counter Jihad"".",0
3301,the skyrocketing phenomenon ,1
3302,"[Pre-Order Jamie Glazov's new book, Jihadist Psychopath: How He Is Charming, Seducing, and Devouring Us, HERE.]",0
3303,9 Steps to Successfully Counter Jihad,0
3304,I can only conclude by making my own these closing words of Archbishop Viganò:,0
3305,imperiously scoffs ,1
3306,the most wayward Pope in Church history,1
3307,I believe that Archbishop Viganò’s precious testimony is a sign that Heaven itself is now responding to the “need for justice” in the Church,1
3308,[emphasis added],0
3309,a really terrifying way,1
3310,the sufferings of the Church ,1
3311,"And the truth about our situation is revealed in that still-hidden part of the Secret to whose contents Pope Benedict alluded during his pilgrimage to Fatima in 2010, identifying elements that do not appear at all in the obscure vision published back in 2000, which Sodano and Bertone tried to pass of as the entirety of the Secret at the same time they were covering up homosexual corruption in high places:",0
3312,The truth is indeed the important thing.,0
3313,The truth is the important thing...”,0
3314,"And in the end, we are all after the truth, aren’t we?",0
3315,"You are the Pope’s representative in the US, and you are urging me to read a book that questions what the secretary of state wrote",1
3316,"“Wait,” I said.",0
3317,You should read it.” It was Christopher Ferrara's The Secret Still Hidden.,0
3318,“Do you know this book?,0
3319,"“Here,” he said.",0
3320,"Sambi said, “Excuse me.” He got up, went out of the room, and came back with a book.",0
3321,"We were discussing the Third Secret of Fatima, the allegations that the Vatican has not published the entire text of the Third Secret as revealed to Sister Lucia, and the response of Cardinal Tarcisio Bertone, the Vatican secretary of state, in a book where Bertone states that there is nothing more to be revealed.",0
3322,"Concerning my book, Archbishop Pietro Sambi, Viganò’s predecessor as Nuncio in Washington, whom Viganò’ credits with diligently reporting McCarrick’s crimes to the Vatican and conveying Benedict’s sanctions to McCarrick, made some very revealing comments during an interview with Robert Moynihan, published posthumously six years ago in Inside the Vatican:",0
3323,stripped of its prophetic and admonitory content regarding the epochal malfeasance and corruption of the upper hierarchy ,1
3324,irrevocably condemned,1
3325,"Sodano even went so far as to issue a statement to the Vatican press office in which a falsehood was affirmed, that is, that Pope Benedict had decided that the Maciel case should be considered closed.",0
3326,"He even removed the Nuncio in Mexico City, Justo Mullor, who refused to be an accomplice in his scheme to cover Maciel, and in his place appointed Sandri, then-Nuncio to Venezuela, who was willing to collaborate in the cover-up.",0
3327,It is known that Sodano tried to cover up the Father Maciel scandal to the end.,0
3328,"In November 2000, Nunzio Montalvo sent him his report, passing on to him the aforementioned letter from Father Boniface Ramsey in which he denounced the serious abuses committed by McCarrick.",0
3329,Cardinal Angelo Sodano was Secretary of State until September 2006: all information [concerning McCarrick] was communicated to him.,0
3330,candidates known to be active homosexuals ,1
3331,"My two above-mentioned memos of December 6, 2006 and May 25, 2008, were also presumably handed over to him by the Substitute.",0
3332,"Nuncio Sambi’s report [on McCarrick’s sexual abuse], with all the attachments, was sent to Cardinal Tarcisio Bertone, as Secretary of State.",0
3333,"As to Bertone and Sodano, Viganò provides further vital testimony:",0
3334,"Long before the arrival of Bergoglio in Rome, the successive Vatican Secretaries of State, Angelo Sodano and Tarcisio Bertone, were instrumental in advancing the homosexual corruption of the Novus Ordo establishment.",0
3335,Conclusion: The Fatima Connection,0
3336,"For some, it seems, no price is too great—not even the good of the Church—to avoid the personal ignominy of being seen on the wrong side of history.",0
3337,Irony of ironies,1
3338,A return to integral Tradition is the threat that Faggioli sees as coming particularly from the young.,0
3339,to their horror,1
3340,"That is exactly what a growing number of Catholics are now doing, as even the secular press recognized less than three months before Bergoglio began his tyrannical reign.",0
3341,the tradition-hating Pope ,1
3342,"Rather, it is an ideological movement dedicated to the face-saving defense of a catastrophic failure in ecclesial innovation that has corrupted the human element of the Church in practically every department.",0
3343,It is not about the Faith at all.,0
3344,Faggioli’s argument demonstrates that neo-Catholicism has never been about making the authentic Faith more appealing to a “modern world” founded precisely on a rejection of the Church’s authority.,0
3345,what he is really arguing—the final beachhead of the neo-Catholic defense of their disintegrating regime—is that homosexuals in the hierarchy must remain in authority as an indispensable seawall against a “neo-traditionalist” storm surge,1
3346,Homosexuality in the clergy exists and is a matter that must be addressed,1
3347,Faggioli would probably be more inclined to civil or criminal prosecution of “Catholic Jacobins” for “hate speech” than Novus Ordo bishops for their complicity in covering up homosexual rapes.,0
3348,Any abandonment of the regime must be viewed as ecclesiastical treason—“Catholic Jacobinism”—if not criminal activity,1
3349,young clergy marked by personal sanctity,1
3350,a young clergy marked by personal sanctity but also by a fascination for a mythical Middle Ages ,1
3351,"Thus did Paul describe the conciliar “opening to the world” through which the world promptly invaded the Church, including large numbers of homosexuals who should never have been admitted to the seminary",1
3352,[emphasis added],0
3353,its aspirations purified and blessed,1
3354,"Instead of depressing diagnoses, encouraging remedies; instead of direful prognostics, messages of trust issued from the council to the present-day world.",0
3355,wave of affection and admiration flowed from the council over the modern world of humanity,1
3356,Its attitude was very much and deliberately optimistic.,0
3357,"But one must realize that this council, which exposed itself to human judgment, insisted very much more upon this pleasant side of man, rather than on his unpleasant one.",0
3358,in the depths of his conciliar delirium ,1
3359,demolition of the sacred liturgy ,1
3360,opened the way to ecclesial disaster,1
3361,They interpret the current abuse crisis as fruit of the mistakes of the Council itself and not only of the post-Council…”,0
3362,"As Faggioli puts it: “In the last fifteen years, the American Catholic Church has been traversed by a radicalization of religious conservatism in the neo-traditionalism sense, especially in the younger generations of priests and intellectuals.",0
3363,an orthodox Catholic who has had enough of the homosexual-infested regime of novelty imposed on the Church by the old men of the Council,1
3364,But what exactly is a neo-traditionalist?,0
3365,"Better a thousand septuagenarian Wuerls in their lavish sties of corruption, financed by the faithful, than a single, young neo-traditionalist prelate",1
3366,"What really concerns Faggioli and those who think like him is not Wuerl and his “complex situation,” which is not complex at all.",0
3367,[emphasis in original],0
3368,he put other seminarians at risk,1
3369,"Cardinal Wuerl, well aware of the continuous abuses committed by Cardinal McCarrick and the sanctions imposed on him by Pope Benedict, transgressing the Pope’s order, also allowed him to reside at a seminary in Washington D.C.",0
3370,But the Cardinal knew nothing about it!,0
3371,I subsequently learned that the event at Georgetown had taken place for seven years.,0
3372,"However, he failed to acknowledge receipt of my two letters, contrary to what he customarily did",1
3373,The Cardinal told me that he knew nothing about it.,0
3374,"Before forwarding them to the addressee, so as to handle things properly, I personally gave a copy of them to the Cardinal with an accompanying letter I had written.",0
3375,"Following a morally unacceptable event authorized by the academic authorities of Georgetown University, I brought it to the attention of its President, Dr. John DeGioia, sending him two subsequent letters.",0
3376,Cardinal Wuerl also clearly lied on another occasion.,0
3377,lies shamelessly ,1
3378,absolutely laughable,1
3379,"If, as he now continues to state, he knew nothing of the abuses committed by McCarrick and the measures taken by Pope Benedict, how can his answer be explained",1
3380,"I immediately phoned Cardinal Wuerl, who expressed his surprise to me, telling me that he knew nothing about that announcement and that he would cancel it.",0
3381,"I also remember in particular the fact that I had to draw his attention to it, because I realized that in an archdiocesan publication, on the back cover in color, there was an announcement inviting young men who thought they had a vocation to the priesthood to a meeting with Cardinal McCarrick.",0
3382,"I myself brought up the subject [of McCarrick] with Cardinal Wuerl on several occasions, and I certainly didn’t need to go into detail because it was immediately clear to me that he was fully aware of it.",0
3383,….,0
3384,sheds light on the darkness,1
3385,brazenly lies about it,1
3386,maintaining a key bulwark against the “neo-traditionalist” threat,1
3387,"Wuerl, says Faggioli, “faces a complex situation: on the one hand Wuerl was not afraid of clashing with the tribunal over the Apostolic Signatura in the Vatican which wanted to readmit a priest from the Pittsburgh diocese to ministry… while in other cases he seems to have collaborated in covering up some cases… It is a very difficult position also because Wuerl became a symbol… beyond the specific accusations against him, from which he could not publicly defend himself.”",0
3388,"Francis cannot “simply fire” even Cardinal Wuerl, who covered up crimes of homosexual predation by the priests he transferred elsewhere while Archbishop of Pittsburgh, and who authorized payment of $900,000 in hush money to bury sexual abuse claims against a homosexual priest involved in the production of child pornography",1
3389,"the same Pope who sacks conservative bishops and cardinals according to his pleasure and has just removed a cardinal from the College of Cardinals in an unprecedented disciplinary act under fire from the media, is somehow powerless to dismiss Modernist bishops who have created an obscene “gay culture” in the Church and replace them with orthodox, normal heterosexual males",1
3390,the conservative bishops and even Cardinals (Burke and Müller) he has sacked because their conservatism offended him or one of his friends,1
3391,the CEO of the Catholic Church world,1
3392,"For Faggioli, not only would Bergoglio’s resignation be unthinkable, so also would a purge of the homosexual and pro-homosexual prelates Bergoglio and his Vatican henchmen have systematically enabled",1
3393,fretted ,1
3394,sounding the neo-Catholic air raid siren,1
3395,terrifying prospect,1
3396,"Today, our ridiculous suggestion is the stuff of mainstream news.",0
3397,catastrophic compromise ,1
3398,disastrous ,1
3399,screaming headline,1
3400,I stand with Archbishop Carlo Vigano.,0
3401,"Too little, too late ",1
3402,Defending the Council by Defending the Homosexual Status Quo,0
3403,[emphasis added],0
3404,"with the power of octopus tentacles, and strangle innocent victims and priestly vocations, and are strangling the entire Church",1
3405,"Janet Smith, Professor of Moral Theology at the Sacred Heart Major Seminary in Detroit, recently wrote: “The problem of clergy abuse cannot be resolved simply by the resignation of some bishops, and even less so by bureaucratic directives.",0
3406,endemic homosexual corruption ,1
3407,has contributed mightily,1
3408,"Then, only when he was forced by the media, and a revolt by the Chilean victims and faithful, did he recognize his error and apologize, while stating that he had been misinformed, causing a disastrous situation for the Church in Chile, but continuing to protect the two Chilean Cardinals Errazuriz and Ezzati.",0
3409,"First, he insulted the abuse victims.",0
3410,"The Pope defends his man, Cardinal Rodriguez Maradiaga, to the bitter end, as he had done in Chile with Bishop Juan de la Cruz Barros, whom he himself had appointed Bishop of Osorno against the advice of the Chilean Bishops.",0
3411,a chasm of abuses of power,1
3412,"This is how one explains that, as members of the Congregation for Bishops, the Pope replaced Cardinal Burke with Wuerl and immediately appointed Cupich right after he was made a cardinal.",0
3413,the kingmaker ,1
3414,rampant sodomy ,1
3415,vanish into nowhere,1
3416,"Moreover, it was Bergoglio’s right hand man, Cardinal Maradiaga, who sheltered his friend, Juan José Pineda, auxiliary Bishop of Tegucigalpa, from any discipline over his notorious homosexual liaisons with seminarians in that diocese.",0
3417,a flagrantly active homosexual,1
3418,clerical sodomy ,1
3419,None of the foregoing is meant to suggest that the homosexual invasion of the Catholic hierarchy is confined to American prelates and priests.,0
3420,"A Worldwide Network of Corruption, Beginning at the Top",0
3421,revels in smug certitude ,1
3422,Any purge would empty parishes and religious orders of the thousands of priests and bishops who lead healthy lives of service and faithful lives of celibacy.”,0
3423,pedophile summit,1
3424,"a “well-known activist who promotes the LGBT agenda, chosen to corrupt the young people who will soon gather in Dublin for the World Meeting of Families",1
3425,But Bergoglio has also lent his own authority to Martin’s effort to mainstream homosexuality in the Church.,0
3426,pedophile summit,1
3427,pro-gay” Robert McElroy ,1
3428,yet another promoter of Martin’s homosexual activism,1
3429,"And it was McCarrick who obtained the cardinal’s hat for his roommate of six years, Kevin Farrell, whom he consecrated a bishop.",0
3430,William (“nighty-night baby!”) Tobin,1
3431,Nor must we join the neo-Catholics in their mindless applause when one of these incompetents attempts to repoint a brick or two in the crumbling façade they have erected to obscure the Church of old.,0
3432,We must no longer subsidize the malpractice of the architects of ruin.,0
3433,the servitors of Vatican II ,1
3434,For heaven’s sake,1
3435,the 2002 “pedophile summit,1
3436,He is the very exemplar of the crisis we must still endure,1
3437,Cupich is the very model of a Novus Ordo bishop.,0
3438,"As I wrote back then, with the likes of Cupich in view:",0
3439,the obscure Bishop of Rapid City,1
3440,"Their names were not among those presented by the Nunciature for Chicago and Newark.” That is, the normal process was circumvented for these appointments.",0
3441,"united by a wicked pact of abuses by the first, and at least of coverup of abuses by the other two",1
3442,"It was McCarrick, noted Marco Tosatti, who was behind the elevation of Blase Cupich to the key position of Archbishop of Chicago, where Cupich has since promoted the homosexual subversion of Father James Martin.",0
3443,Bergoglio’s “trusted counselor,1
3444,[all emphasis in original],0
3445,"It was only when he was forced by the report of the abuse of a minor, again on the basis of media attention, that he took action to save his image in the media.",0
3446,corrupt man,1
3447,a serial predator,1
3448,"It was also clear that, from the time of Pope Francis’s election, McCarrick, now free from all constraints, had felt free to travel continuously, to give lectures and interviews….",0
3449,He clearly wanted to find out if I was an ally of McCarrick or not,1
3450,very grave words of mine ,1
3451,"I answered him with complete frankness and, if you want, with great naiveté: “Holy Father, I don’t know if you know Cardinal McCarrick, but if you ask the Congregation for Bishops there is a dossier this thick about him.",0
3452,During the audience Bergoglio queried: “What is Cardinal McCarrick like?” and Viganò replied with the truth Bergoglio obviously did not want to hear:,0
3453,Viganò wanted to know why McCarrick had apparently been relieved of the sanctions.,0
3454,planned sellout ,1
3455,muttering in a barely comprehensible way,1
3456,I repeated them to Cardinal McCarrick at my first meeting with him at the Nunciature.,0
3457,"The Archbishop reveals, as already noted, that Pope Benedict imposed sanctions on McCarrick under which he “was to leave the seminary where he was living, he was forbidden to celebrate [Mass] in public, to participate in public meetings, to give lectures, to travel, with the obligation of dedicating himself to a life of prayer and penance.” Viganò further reveals that those sanctions were communicated to McCarrick by then Apostolic Nuncio to the United States, Pietro Sambi, but were also repeated by Viganò himself when he succeeded Sambi as Nuncio:",0
3458,This would explain why he will not a “say a word about” Viganò’s charges against him.,0
3459,"details conveniently ignored by Winters, Allen and Shea",1
3460,homosexual debauchery ,1
3461,the homosexual predator ,1
3462,an explosive admission ,1
3463,a new bumper crop of homosexual ordinands ,1
3464,"But before I address Faggioli’s latest defense of the indefensible, some background is in order, including a discussion of further key details of Viganò’s testimony.",0
3465,the dreaded traditionalist revival,1
3466,"While events have overtaken Faggioli’s piece, it will remain useful here as a prime example of the neo-Catholic polemic.",0
3467,The American “Gay” Church ,1
3468,Obviously.,0
3469,Seems to be.,0
3470,"as Bergoglio cannot deny the allegations without lying, he will say nothing at all about them in the hope they will go away",1
3471,"It will do you all good, really.",0
3472,"When a little time goes by, and you have drawn conclusions, perhaps I will speak about it, but I would like your professional maturity to do this work.",0
3473,It is an act of trust.,0
3474,"I believe that the statement speaks for itself, and you all have sufficient journalistic ability to draw conclusions.",0
3475,I am not going to say a word about this.,0
3476,Read the statement carefully yourselves and make your own judgment.,0
3477,Bergoglio declined to incriminate himself:,0
3478,"During the return flight from Dublin after the “World Meeting of Familes,” he was asked to comment on Viganò ’s allegations that he had informed Bergoglio of McCarrick’s crimes in 2013 as well as the sanctions imposed by Benedict.",0
3479,"Bergoglio himself, however, has already precluded any attempt to impeach Viganò’s testimony.",0
3480,Bergoglio Pleads the Fifth,0
3481,"I]f Cardinal Wuerl was unaware of the sanctions, and unaware of the reason for them, why did he ask no questions of the nuncio regarding the reason for his demand",1
3482,the propaganda machine gearing up to impeach Viganò’s testimony,1
3483,"Archbishop Salvatore Cordileone of San Francisco wrote a letter to his faithful which ""speaks to Vigano's integrity and sincere love of the Church",1
3484,Cardinal Raymond Burke’s statement declares: “The declarations made by a prelate of the authority of Archbishop Carlo Maria Viganò must be totally taken to heart by those responsible in the Church,1
3485,"There is, therefore, no reasonable and plausible cause to doubt the truth content of the document of Archbishop Carlo Maria Viganò.”",0
3486,- Bishop Athanasius Schneider declares: “Archbishop Viganò confirmed his statement by a sacred oath invoking the name of God.,0
3487,"issued a statement calling Viganò’s account “another daunting challenge to our confidence in the reliability of the Church’s leadership, during a summer of devastating news regarding clergy sexual abuse and infidelity",1
3488,"issued a statement affirming that he has known Viganò for 39 years, has “always known and respected him as a man of truthfulness, faith and integrity” and that his testimony should “be taken seriously by all",1
3489,"- Bishop Joseph Strickland of Tyler, Texas has gone so far as to order all the priests in his diocese to read from the pulpit a statement that he finds Viganò’s allegations credible.",0
3490,"Furthermore, a series of prelates has vouched for Viganò’s character and credibility:",0
3491,a worldwide storm of outrage,1
3492,"Speaking to Catholic News Agency, Monsignor Jean-François Lantheaume, who served as first Counsellor of the Nunciature in Washington, confirmed that “Viganò said the truth.",0
3493,The neo-Catholic propaganda mill ,1
3494,puerile mockery,1
3495,a stunning concession coming from him,1
3496,Evidence.,0
3497,"Ignoring eleven pages of detail, written and published under oath, he suggests there has been no “Documentation",1
3498,the most insufferable of the neo-Catholic polemicists,1
3499,he “has a history” of “innuendo and conspiracy theories,1
3500,"Take it seriously, but with a large grain of salt",1
3501,"John Allen’s instant analysis attempting to impeach Viganò’s testimony is, as one would expect from him, a bit craftier.",0
3502,"for Winters it is not the Church or the integrity of her doctrine and discipline that must be defended against enemies, but only Bergoglio and the regime of novelty he is leading to its final extremity",1
3503,"A putsch is afoot and if the U.S. bishops do not, as a body, stand up to defend the Holy Father in the next 24 hours, we shall be slipping towards schism long before the bishops",1
3504,the professional Catholic dissident ,1
3505,The campaign to discredit Archbishop Viganò began instantaneously on the Catholic left wing.,0
3506,to smear the man,1
3507,neo-Catholic ,1
