id,span,propaganda,sequence_size,qm_size,em_size,ner_person,ner_organization,ner_country,sentiment,polarity,subjectivity,readability,loaded_language
1936,Who should replace Nikki Haley as our ambassador to the U.N.?,0,61.00,1,0,Nikki Haley,U.N.,,2.00,0.00,0.00,68.77,0.00
1937,Who should replace Nikki Haley as our ambassador to the U.N.?,0,61.00,1,0,Nikki Haley,U.N.,,2.00,0.00,0.00,68.77,0.00
1938,take our poll - story continues below,0,37.00,0,0,,,,2.00,0.00,0.00,48.47,0.00
1939,a mudslinging orgy of victim shaming and kangaroo courts,1,56.00,0,0,,,,1.00,-0.08,0.05,45.42,0.00
1940,But no one is talking about this.,0,33.00,0,0,,,,1.00,0.00,0.00,106.67,0.00
1941,he shouldn’t even be in this position based solely on his previous record,1,73.00,0,0,"his, he",,,2.00,-0.17,0.17,66.74,0.00
1942,his record indicates that he all but cannot stand the Fourth and he’s not that big a fan of the First either,1,108.00,0,0,"his, he",,,2.00,0.08,0.14,82.99,0.00
1943,constitution-hating and tyrannical tendencies,1,45.00,0,0,,,,1.00,0.00,0.00,-76.41,0.00
1944,Whether or not he is guilty of these allegations is left to be determined.,0,74.00,0,0,he,,,1.00,-0.25,0.50,74.19,0.00
1945,"Since then, there have been numerous allegations of sexual misconduct levied toward the Justice to be.",0,102.00,0,0,,,,1.00,0.25,0.67,46.78,0.00
1946,Circuit Court of Appeals Judge Brett Kavanaugh to the Supreme Court.,0,68.00,0,0,Brett Kavanaugh,"Supreme Court, Circuit Court of Appeals",,1.00,0.00,0.00,85.69,0.00
1947,"In July, President Donald Trump nominated D.C.",0,46.00,0,0,Donald Trump,,,1.00,0.00,0.00,30.53,0.00
1948,MSM Using Kavanaugh Sex Scandal to Distract You From Real Reason He Shouldn’t Be Confirmed,0,90.00,0,0,He,MSM,,1.00,0.30,0.65,64.71,0.00
1949,"This is a time of repentance, of conversion, of prayers, of grace, to prepare the Church, the bride of the Lamb, ready to fight and win with Mary the battle against the old dragon.",0,180.00,0,0,Mary,,,4.00,0.37,0.37,70.81,0.00
1950,"Make your own the act of faith and complete confidence in Christ Jesus, our Savior, of Saint Paul in his second Letter to Timothy, Scio cui credidi, which I choose as my episcopal motto.",0,186.00,0,0,"Christ Jesus, his, Timothy",,,1.00,0.23,0.47,53.89,0.00
1951,"I wish to encourage you, dear faithful, my brothers and sisters in Christ",1,73.00,0,0,Christ,,,3.00,0.00,0.00,75.20,0.00
1952,*****,0,5.00,0,0,,,,2.00,0.00,0.00,206.84,0.00
1953,"Your Eminence, I urge you to bear witness to the truth.",0,55.00,0,0,,,,3.00,0.00,0.00,85.69,0.00
1954,You have at your complete disposal key documents incriminating McCarrick and many in the curia for their cover-ups.,0,115.00,0,0,McCarrick,,,2.00,0.20,0.63,44.75,0.00
1955,"Your Eminence, before I left for Washington, you were the one who told me of Pope Benedict’s sanctions on McCarrick.",0,116.00,0,0,"Benedict, McCarrick",,,1.00,0.00,0.00,59.64,0.00
1956,"His long article in L’Osservatore Romano, in which he came out in favor of the more controversial aspects of Amoris Laetitia, represents his surrender",1,150.00,0,0,"L'Osservatore Romano, His, Amoris Laetitia, his, he",,,1.00,0.33,0.62,38.66,0.00
1957,two homosexual “friends” of his dicastery,1,41.00,0,0,his,,,2.00,0.00,0.00,6.17,0.00
1958,"At the beginning of Pope Francis’ pontificate, he had maintained his dignity, as he had shown with courage when he was Archbishop of Québec.",0,140.00,0,0,"his, he, Francis",,,1.00,0.00,0.00,55.58,0.00
1959,"He will remember when, at the end of my mission in Washington, he received me at his apartment in Rome in the evening for a long conversation.",0,142.00,0,0,"his, He, he",,,1.00,-0.05,0.40,60.99,0.00
1960,"I would like to make a special appeal to Cardinal Ouellet, because as nuncio I always worked in great harmony with him, and I have always had great esteem and affection towards him.",0,181.00,0,0,"Ouellet, him",,,3.00,0.65,0.69,46.44,0.00
1961,The faithful deserve to know,1,28.00,0,0,,,,3.00,0.00,0.00,83.32,0.00
1962,did the pope refuse to carry out a Vatican investigation into McCarrick’s crimes and of those responsible for covering them up,1,126.00,0,0,McCarrick,,,2.00,0.20,0.55,33.24,0.00
1963,"In the meantime, a delegation of the USCCB, headed by its president Cardinal DiNardo, went to Rome asking for a Vatican investigation into McCarrick.",0,149.00,0,0,"Cardinal DiNardo, McCarrick",,,1.00,0.00,0.00,21.74,0.00
1964,"Mauro Inzoli after Pope Benedict had removed him from ministry (until he went to prison, at which point Pope Francis laicized him), and his halting of the investigation of sex abuse allegations against Cardinal Cormac Murphy O’Connor.",0,234.00,0,0,"he, Pope Benedict, his, Cormac Murphy O'Connor, Francis, him, Mauro Inzoli",,,1.00,0.00,0.00,33.92,0.00
1965,"Julio Grassi in Buenos Aires, his reinstatement of Fr.",0,54.00,0,0,"his, Julio Grassi",,,1.00,0.00,0.00,79.26,0.00
1966,These include his role in the case of Fr.,0,41.00,0,0,his,,,2.00,0.00,0.00,104.64,0.00
1967,"Many more instances have recently been documented in the press, showing that Pope Francis has defended homosexual clergy who committed serious sexual abuses against minors or adults",1,181.00,0,0,Pope Francis,,,1.00,0.23,0.55,18.69,0.00
1968,"Moreover, the pope’s cover-up of McCarrick was clearly not an isolated mistake.",0,79.00,0,0,McCarrick,,,1.00,-0.05,0.38,59.30,0.00
1969,The pope’s unwillingness to respond to my charges and his deafness to the appeals by the faithful for accountability are hardly consistent with his calls for transparency and bridge building,1,190.00,0,0,his,,,1.00,0.25,0.25,41.03,0.00
1970,But how can journalists discover and know the truth if those directly involved with a matter refuse to answer any questions or to release any documents,1,151.00,0,0,,,,2.00,0.10,0.40,53.55,0.00
1971,"When he did speak to journalists, he asked them to exercise their professional maturity and draw their own conclusions.",0,119.00,0,0,he,,,3.00,0.35,0.55,52.19,0.00
1972,"Indeed, he did it repeatedly, in the context of the celebration of the most Holy Sacrament, the Eucharist, where he runs no risk of being challenged by journalists.",0,164.00,0,0,he,,,1.00,0.50,0.50,51.52,0.00
1973,"Instead, he put in place a subtle slander against me — slander being an offense he has often compared to the gravity of murder.",0,127.00,0,0,he,,,1.00,-0.33,0.50,55.58,0.00
1974,In so doing he would have intensified the demand of the people of God and the world for the documentation needed to determine who has told the truth.,0,149.00,0,0,he,,,1.00,0.00,0.00,51.52,0.00
1975,"If he had said: “Viganò lied,” he would have challenged my credibility while trying to affirm his own.",0,102.00,0,0,"his, he",,,1.00,0.60,1.00,70.13,0.00
1976,"Now, the pope’s reply to my testimony was: “I will not say a word!” But then, contradicting himself, he has compared his silence to that of Jesus in Nazareth and before Pilate",1,175.00,0,1,"his, Jesus, he",,,1.00,0.00,0.00,55.92,0.00
1977,how perverse and evil ,1,22.00,0,0,,,,2.00,-1.00,1.00,75.88,0.00
1978,How can one avoid concluding that the reason they do not provide the documentation is that they know it confirms my testimony,1,125.00,0,0,,,,2.00,0.00,0.00,57.61,0.00
1979,"“Qui tacet consentit” surely applies here, for if they deny my testimony, they have only to say so, and provide documentation to support that denial.",0,149.00,0,0,,,,1.00,0.25,0.94,46.10,0.00
1980,"Neither the pope, nor any of the cardinals in Rome have denied the facts I asserted in my testimony.",0,100.00,0,0,,,,1.00,0.00,0.00,60.65,0.00
1981,Only the seal of confession could have justified my silence.,0,60.00,0,0,,,,1.00,0.20,0.95,61.33,0.00
1982,"2491), the seal of secrecy is not binding when very grave harm can be avoided only by divulging the truth.",0,106.00,0,0,,,,1.00,0.10,0.65,76.56,0.00
1983,shocking facts ,1,15.00,0,0,,,,2.00,-1.00,1.00,35.61,0.00
1984,"But the purpose of any secret, including the pontifical secret, is to protect the Church from her enemies, not to cover up and become complicit in crimes committed by some of her members.",0,187.00,0,0,her,,,1.00,-0.40,0.70,46.44,0.00
1985,"Certainly, some of the facts that I was to reveal were covered by the pontifical secret that I had promised to observe and that I had faithfully observed from the beginning of my service to the Holy See.",0,203.00,0,0,,,,2.00,-0.09,0.64,49.83,0.00
1986,"Christ died for the Church, and Peter, Servus servorum Dei, is the first one called to serve the spouse of Christ.",0,114.00,0,0,"Christ, Peter",,,1.00,0.25,0.33,92.46,0.00
1987,"Well aware of the enormous consequences that my testimony could have, because what I was about to reveal involved the successor of Peter himself, I nonetheless chose to speak in order to protect the Church, and I declare with a clear conscience before God that my testimony is true.",0,282.00,0,0,Peter,,,3.00,0.17,0.55,30.20,0.00
1988,a devastating crime for the Church,1,34.00,0,0,,,,2.00,-1.00,1.00,73.85,0.17
1989,"during months of profound suffering and anguish, during a crescendo of continual news of terrible events, with thousands of innocent victims destroyed and the vocations and lives of young priests and religious disturbed",1,219.00,0,0,,,,1.00,-0.06,0.67,29.52,0.00
1990,the most painful and serious decision that I have ever made in my life,1,70.00,0,0,,,,1.00,-0.18,0.69,74.19,0.00
1991,"It has been a month since I offered my testimony, solely for the good of the Church, regarding what occurred at the audience with Pope Francis on June 23, 2013 and regarding certain matters I was given to know in the assignments entrusted to me at the Secretariat of State and in Washington, in relation to those who bear responsibility for covering up the crimes committed by the former archbishop of that capital.",0,415.00,0,0,Pope Francis,Secretariat of State,,1.00,0.30,0.39,-2.63,0.00
1992,*****,0,5.00,0,0,,,,2.00,0.00,0.00,206.84,0.00
1993,(Psalm 103:33-34),0,17.00,0,0,,,,2.00,0.00,0.00,120.21,0.00
1994,For I rejoice in the Lord.”,0,27.00,0,0,,,,3.00,0.00,0.00,99.23,0.00
1995,May my song be pleasing to him;,0,31.00,0,0,him,,,1.00,0.00,0.00,106.67,0.00
1996,I will sing praise to my God while I have being.,0,48.00,0,0,,,,1.00,0.00,0.00,102.61,0.00
1997,"“As long as I have life, I will sing to the Lord,",0,49.00,0,0,,,,3.00,-0.05,0.40,110.06,0.00
1998,"Our only Lord has addressed also to me the invitation, “Follow me!”, and I intend to follow him with the help of his grace until the end of my days.",0,148.00,0,1,"his, him",,,2.00,0.00,1.00,66.41,0.00
1999,"By the gift of the Spirit who sustains me with joy on the path that I am called to travel, I intend to do so until the end of my days.",0,134.00,0,0,,,,3.00,0.80,0.20,73.85,0.00
2000,"As a priest and bishop of the holy Church, spouse of Christ, I am called like every baptized person to bear witness to the truth.",0,129.00,0,0,Christ,,,1.00,0.00,0.00,79.94,0.00
2001,"Before starting my writing, I would first of all like to give thanks and glory to God the Father for every situation and trial that He has prepared and will prepare for me during my life.",0,187.00,0,0,He,,,1.00,0.15,0.21,51.86,0.00
2002,(2 Tim 1:12),0,12.00,0,0,,,,2.00,0.00,0.00,119.19,0.00
2003,Scio Cui credidi,0,16.00,0,0,Scio Cui credidi,,,2.00,0.00,0.00,59.97,0.00
2004,Apostolic Nuncio,0,16.00,0,0,,,,2.00,0.00,0.00,35.61,0.00
2005,Archbishop of Ulpiana,0,21.00,0,0,,,,2.00,0.00,0.00,34.59,0.00
2006,Tit.,0,4.00,0,0,,,,2.00,0.00,0.00,121.22,0.00
2007,_________________________________,0,33.00,0,0,,,,2.00,0.00,0.00,206.84,0.00
2008,MJM,0,3.00,0,0,,,,2.00,0.00,0.00,121.22,0.00
2009,We are with you!,0,16.00,0,1,,,,3.00,0.00,0.00,118.18,0.00
2010,"God bless you, Your Excellency, and Mary keep you.",0,50.00,0,0,Mary,,,2.00,0.00,0.00,87.72,0.00
2011,wish him every blessing and heavenly consolation as he undergoes this passion for the sake of the Master he serves so well,1,122.00,0,0,"he, him",,,1.00,0.00,0.00,57.61,0.00
2012,God help us.,0,12.00,0,0,,,,2.00,0.00,0.00,119.19,0.00
2013,The enemy is not only at the gates but has now made their way to the thrones of power and the seats of the Apostles.,0,116.00,0,0,,,,3.00,0.00,1.00,79.94,0.00
2014,"He is standing against corrupt men in high places who cannot be trusted to do what is best for souls, for the Catholic faithful or indeed for Holy Mother Church herself.",0,169.00,0,0,He,,,1.00,0.17,0.49,65.39,0.00
2015,Archbishop Viganò is fighting for the very survival of the human element of the Catholic Church,1,95.00,0,0,Viganò,,,2.00,0.07,0.17,63.70,0.00
2016,the most dangerous pontificate in history,1,41.00,0,0,,,,2.00,-0.05,0.70,14.63,0.00
2017,"Friends, let us pray for Archbishop Viganò.",0,43.00,0,0,Viganò,,,2.00,0.00,0.00,81.29,0.00
2018,This is clearly the testimony of an honest man who has only the good of the Church in his heart—a modern-day Athanasius standing against something so much worse than Liberius,1,174.00,0,0,"Liberius, his, Athanasius",,,1.00,0.20,0.70,57.95,0.00
2019,Read the Archbishop’s words for yourselves and note well the ring of truth that resonates in every sentence.,0,108.00,0,0,,,,3.00,0.00,0.00,78.59,0.00
2020,a 4-page bombshell ,1,19.00,0,0,,,,3.00,0.00,0.00,59.97,0.00
2021,"The former Apostolic Nuncio to the United States has, as they say, doubled down.",0,80.00,0,0,,Apostolic Nuncio,United States,1.00,-0.08,0.14,74.19,0.00
2022,the most courageous prelate in the Church today—Archbishop Carlo Maria Viganò,1,77.00,0,0,Carlo Maria Viganò,,,3.00,0.50,0.50,68.77,0.00
2023,"Archbishop Viganò has released a new, powerful statement necessitated by the peculiar reaction of Pope Francis to the Aug 22 Testimony.",0,135.00,0,0,"Viganò, Pope Francis",,,3.00,0.22,0.73,24.78,0.00
2024,"Viganò Doubles Down, Accuses Francis of Losing Sight of Christ",0,62.00,0,0,"Francis, Christ",,,1.00,-0.16,0.29,61.33,0.00
2025,Trump is right.,0,15.00,0,0,Trump,,,3.00,0.29,0.54,119.19,0.00
2026,You can kiss the MIDTERMS goodbye if you don’t get highly qualified Kavanaugh approved,1,86.00,0,0,Kavanaugh,,,1.00,0.16,0.54,74.19,0.00
2027,President Trump quoted the nation’s most prominent conservative radio host as he urged GOP senators to get onboard Tuesday:,0,123.00,0,0,"Trump, he",GOP,,1.00,0.50,0.75,43.73,0.00
2028,"""And if the Left can stop Kavanaugh we will not get another conservative justice in our lifetime on the Supreme Court.""",0,119.00,0,0,Kavanaugh,Supreme Court,,1.00,0.00,0.00,67.08,0.00
2029,"“We're watching a period where what we have to understand is this is about raw power,"" former Speaker of the House Newt Gingrich (R-Ga.) said Tuesday.",0,150.00,0,0,Newt Gingrich,,,1.50,-0.12,0.23,62.01,0.00
2030,"Obviously, a lot is riding on the confirmation.",0,47.00,0,0,,,,1.00,0.00,0.50,37.98,0.00
2031,"""If we're ready to vote, we will vote,” Chairman Chuck Grassley (R-Iowa) tweeted Tuesday at 6:46 p.m. “If we aren't ready, we won't.”",0,133.00,0,0,Chuck Grassley,,,1.00,0.20,0.50,73.51,0.00
2032,"That said, the Senate Judiciary Committee is tentatively scheduled to vote on the nomination Friday at 9:30 a.m.",0,112.00,0,0,,Senate Judiciary Committee,,1.00,0.00,0.00,36.28,0.00
2033,Trump-hating media ,1,19.00,0,0,,,,2.00,0.00,0.00,-6.70,0.00
2034,"Those surveyed said by 40 percent to 31 percent that the Senate shouldn't vote to approve his nomination, the first time a plurality of Americans have opposed a Supreme Court nominee since polling on the issue began.",0,216.00,0,0,his,"Supreme Court, Senate",,1.00,0.25,0.33,42.38,0.00
2035,"Disapproval for Kavanaugh … is at an unprecedented level for a Supreme Court nominee amid the allegations against him, according to a new USA TODAY/Ipsos Public Affairs Poll.",0,174.00,0,0,"Kavanaugh, him","Supreme Court, USA TODAY/Ipsos Public Affairs Poll",,1.00,0.25,0.47,43.06,0.00
2036,"The Left’s attacks on Kavanaugh in the #MeToo era are working, a USA Today article suggests:",0,92.00,0,0,Kavanaugh,USA Today,,1.00,0.00,0.00,63.70,0.00
2037,"If they can derail Kavanaugh’s nomination, that is an added bonus.",0,66.00,0,0,Kavanaugh,,,3.00,0.00,0.00,68.77,0.00
2038,"the purpose of the Left’s frenzied, demagogic assault is to damage the nominee, and by extension, the president who nominated him",1,129.00,0,0,him,,,1.00,0.00,0.00,33.24,0.00
2039,mud Democrats have been slinging at ,1,36.00,0,0,,,,1.00,0.00,0.00,90.77,0.00
2040,"In the end, the Senate barely approved his nomination 52 to 48 on October 15, 1991.",0,83.00,0,0,his,Senate,,1.00,0.05,0.10,63.70,0.00
2041,high-tech lynching for uppity blacks,1,36.00,0,0,,,,1.00,0.00,0.00,49.48,0.00
2042,An abused person wouldn’t do that.,0,34.00,0,0,,,,1.00,0.00,0.00,90.77,0.00
2043,left-wingers and feminists like Maureen Dowd ,1,45.00,0,0,Maureen Dowd,,,1.00,0.00,0.00,48.47,0.00
2044,Ford claims to be a victim of attempted rape; Hill claims to have been a victim of sexual harassment in the workplace.,0,118.00,0,0,Hill,Ford,,1.00,0.12,0.31,66.07,0.00
2045,Both claim to have reluctantly been drawn into confirmation battles.,0,68.00,0,0,,,,1.00,0.00,0.00,44.41,0.00
2046,Both women are college professors.,0,34.00,0,0,,,,2.00,0.00,0.00,49.48,0.00
2047,"Many commentators have drawn parallels between Ford and Anita Hill, who in 1991 accused then-Supreme Court nominee Clarence Thomas of sexual improprieties.",0,155.00,0,0,"Clarence Thomas, Anita Hill","Ford, then-Supreme Court",,1.00,0.50,0.67,40.69,0.00
2048,Ford is lying or suffering from some kind of psychological disorder such as false memory syndrome,1,97.00,0,0,,Ford,,1.00,0.05,0.53,38.32,0.00
2049,"Brett Kavanaugh, the boy who sexually assaulted me",1,50.00,0,0,Brett Kavanaugh,,,2.00,0.50,0.83,46.44,0.00
2050,I am here because I believe it is my civic duty to tell you what happened to me while Brett Kavanaugh and I were in high school.”,0,129.00,0,0,Brett Kavanaugh,,,1.00,0.16,0.54,77.91,0.00
2051,I am terrified,1,14.00,0,0,,,,2.00,0.00,0.00,59.97,0.00
2052,"“I am here today not because I want to be,” Ford says in her opening statement.",0,79.00,0,0,her,Ford,,1.00,0.00,0.00,80.62,0.00
2053,Not surprisingly Ford’s prepared testimony also found its way to reporters.,0,75.00,0,0,,Ford,,2.00,-0.35,0.50,43.39,0.00
2054,"Kavanaugh added: ""I am innocent of this charge.""",0,48.00,0,0,Kavanaugh,,,1.00,0.50,0.70,80.28,0.00
2055,But I have never done that to her or to anyone.,0,47.00,0,0,her,,,1.00,0.00,0.00,94.15,0.00
2056,I am not questioning that Dr. Ford may have been sexually assaulted by some person in some place at some time.,0,110.00,0,0,Ford,,,1.00,0.50,0.83,77.74,0.00
2057,I never had any sexual or physical encounter of any kind with Dr. Ford.,0,71.00,0,0,Ford,,,2.00,0.37,0.63,74.19,0.00
2058,categorically and unequivocally deny ,1,37.00,0,0,,,,1.00,0.00,0.00,-118.71,0.00
2059,"According to prepared testimony provided to The Hill newspaper, he will say:",0,76.00,0,0,he,,,2.00,0.00,0.00,42.38,0.00
2060,"As expected, at today’s hearing Kavanaugh will firmly rebut the increasingly outrageous claims being leveled at him.",0,116.00,0,0,"Kavanaugh, him",,,1.00,-0.43,0.60,37.30,0.00
2061,"""They’re not following normal procedure.""",0,41.00,0,0,,,,2.00,0.07,0.37,32.56,0.00
2062,"“It is going against everything I’ve seen for 44 years,"" huffed committee member Patrick Leahy (D-Vt.).",0,103.00,0,0,Patrick Leahy,,,1.50,0.00,0.00,72.16,0.00
2063,freaked out ,1,12.00,0,0,,,,2.00,0.00,0.00,77.91,0.00
2064,all-male team ,1,14.00,0,0,,,,2.00,0.00,0.00,35.61,0.00
2065,The proceedings Thursday are supposed to get underway at 10:00 a.m. Eastern time.,0,81.00,0,0,,,,1.00,0.00,0.00,66.74,0.00
2066,"The GOP currently controls the Senate, which has the final say on judicial nominations, by an uncomfortably close margin of 51 to 49.",0,133.00,0,0,,"GOP, Senate",,1.00,-0.17,0.80,48.13,0.00
2067,Election Day is November 6.,0,27.00,0,0,,,,2.00,0.00,0.00,66.40,0.00
2068,Democrats are trying to drag the confirmation process into the next Congress where they may seize control from Republicans.,0,123.00,0,0,,Congress,,1.00,-0.05,0.04,60.65,0.00
2069,Roughly speaking there is a 4-to-4 liberal to conservative ideological split on the court.,0,90.00,0,0,,,,1.00,-0.10,0.40,40.35,0.00
2070,"It normally has a complement of nine justices but with Anthony Kennedy’s retirement July 31, which cleared the way for Kavanaugh’s nomination, there have been only eight justices.",0,179.00,0,0,"Kavanaugh, Anthony Kennedy",,,1.00,0.07,0.82,43.06,0.00
2071,"If Kavanaugh isn’t on the bench Monday, the Supreme Court will be shorthanded as it begins hearing cases in its new term.",0,121.00,0,0,Kavanaugh,Supreme Court,,1.00,0.14,0.45,66.07,0.00
2072,She claims Kavanaugh exposed himself to her and brushed his genitals against her.,0,81.00,0,0,"She, his, Kavanaugh, her",,,2.00,0.00,0.10,75.20,0.00
2073,Ramirez alleges she was assaulted by Kavanaugh at a drunken party decades ago at Yale College.,0,94.00,0,0,"Ramirez, Kavanaugh, she",Yale College,,1.00,0.00,0.00,72.16,0.00
2074,"Accuser number two is Deborah Ramirez, 53, who went public with her claims in a New Yorker magazine article Sunday.",0,115.00,0,0,"Deborah Ramirez, her",New Yorker,,1.00,0.07,0.26,51.18,0.00
2075,And GOP investigators said late Wednesday they received an additional anonymous claim of rape passed along by Sen. Kamala Harris (D-Calif.).,0,140.00,0,0,Kamala Harris,GOP,,1.50,-0.30,0.60,60.82,0.00
2076,"The transcript of Kavanaugh's Tuesday interview also cited another anonymous claim of sexual misconduct involving Kavanaugh, dating back to 1985 and sent to the office of Sen. Sheldon Whitehouse (D-R.I.), which the judge also flatly denied to investigators.",0,257.00,0,0,"Sheldon Whitehouse, Kavanaugh",,,1.00,0.16,0.32,43.73,0.00
2077,The newspaper account continues:,0,32.00,0,0,,,,2.00,0.00,0.00,8.20,0.00
2078,"Depending on how you do the counting, there may even be a fifth and sixth accusation against Kavanaugh.",0,103.00,0,0,Kavanaugh,,,1.00,0.00,0.00,70.13,0.00
2079,"Kavanaugh denied any involvement in the events alleged in that complaint, which was first reported by NBC.",0,106.00,0,0,Kavanaugh,NBC,,1.00,-0.05,0.21,62.68,0.00
2080,"An anonymous woman wrote to Sen. Cory Gardner’s (R-Colo.) office on Sept. 22 alleging that the Supreme Court nominee shoved another woman “up against the wall very aggressively and sexually” in 1998 after leaving a bar where both had been drinking, the transcript states.",0,271.00,0,0,Cory Gardner,Supreme Court,,1.00,0.35,0.57,57.61,0.00
2081,According to an interview transcript released Wednesday night by the Senate Judiciary Committee:,0,96.00,0,0,,Senate Judiciary Committee,,2.00,0.00,0.00,24.44,0.00
2082,"A fourth accuser popped up yesterday, Politico reports.",0,55.00,0,0,,Politico,,3.00,0.00,0.00,46.44,0.00
2083,"this other con artist, Avenatti",1,31.00,0,0,Avenatti,,,2.00,-0.12,0.38,66.40,0.00
2084,"“All of a sudden, the hearings are over, and the rumors start coming out,” Trump said.",0,86.00,0,0,Trump,,,1.00,0.00,0.50,80.62,0.00
2085,another beauty,1,14.00,0,0,,,,3.00,0.00,0.00,-6.70,0.00
2086,He is just looking for attention and doesn’t want people to look at his past record and relationships ,1,102.00,0,0,"his, He",,,1.00,-0.25,0.25,61.67,0.00
2087,"Avenatti is a third rate lawyer who is good at making false accusations, like he did on me and like he is now doing on Judge Brett Kavanaugh",1,140.00,0,0,"Avenatti, he, Brett Kavanaugh",,,3.00,0.10,0.40,68.44,0.00
2088,slammed ,1,8.00,0,0,,,,2.00,0.00,0.00,36.62,0.00
2089,"""There should be an immediate investigation"" of Swetnick’s dramatic allegations, Avenatti said on MSNBC, ""and there should be no rush to confirm him to the U.S. Supreme Court.""",0,176.00,0,0,"Avenatti, him, Swetnick","U.S. Supreme Court, MSNBC",,1.00,-0.43,0.60,43.06,0.00
2090,Trump’s legal tormentor,1,23.00,0,0,Trump,,,2.00,0.20,0.20,34.59,0.00
2091,There is no indication so far that the president will oblige them.,0,66.00,0,0,,,,1.00,0.10,1.00,76.22,0.00
2092,"Predictably, all 10 Democrat members of the Judiciary Committee urged President Trump to either ""immediately withdraw the nomination or order an FBI investigation into all the allegations.""",0,189.00,0,0,Trump,"Judiciary Committee, FBI",,1.00,-0.20,0.50,10.23,0.00
2093,"She said Kavanaugh and Judge engaged in ""abusive and physically aggressive behavior toward girls,"" which ""included the fondling and groping of girls without their consent"" and ""not taking 'No' for an answer.""",0,208.00,0,0,"She, Kavanaugh",,,1.00,0.00,0.14,39.00,0.00
2094,"At the time, Kavanaugh and Judge were students at Georgetown Prep, a private Catholic all-boys school.",0,102.00,0,0,Kavanaugh,Georgetown Prep,,1.00,0.00,0.24,80.62,0.00
2095,"Swetnick says in her affidavit that she saw Kavanaugh in the early 1980s ""drink excessively at many"" house parties in suburban Maryland.",0,136.00,0,0,"she, Kavanaugh, her, Swetnick",,,1.00,0.20,0.27,57.61,0.00
2096,"A 1980 graduate of Gaithersburg High School in Maryland, she said she has held multiple clearances for work done at the Treasury Department, U.S. Mint, IRS, State Department and Justice Department, among other government agencies.",0,230.00,0,0,she,"Gaithersburg High School, State Department and Justice Department, IRS, Treasury Department",U.S.,1.00,0.01,0.30,62.17,0.00
2097,A CNBC summary describes Swetnick:,0,34.00,0,0,,CNBC,,2.00,0.00,0.00,32.56,0.00
2098,"""I don't know who this is and this never happened,"" the judicial nominee added.",0,79.00,0,0,,,,1.00,0.00,0.00,74.19,0.00
2099,ridiculous and from the Twilight Zone,1,37.00,0,0,,,,1.00,-0.33,1.00,90.77,0.00
2100,gang-raped ,1,11.00,0,0,,,,2.00,0.00,0.00,-47.99,0.00
2101,"He drank excessively at these parties and would grind against girls and try to take their clothing of, she said.",0,112.00,0,0,"she, He",,,1.00,-0.25,1.00,76.56,0.00
2102,a “mean drunk,1,13.00,0,0,,,,2.00,-0.41,0.84,119.19,0.00
2103,It gets weirder.,0,16.00,0,0,,,,1.00,0.00,0.00,93.81,0.00
2104,"Incredibly, Swetnick said in a sworn statement that she witnessed gang rapes at these parties but kept on attending them anyway.",0,128.00,0,0,"she, Swetnick",,,1.00,0.90,0.90,58.62,0.00
2105,"The third accuser is Julie Swetnick, a 55-year-old certified systems engineer, who on Wednesday claimed that in the early 1980s Kavanaugh and others spiked the drinks of young women at high school parties with intoxicants to clear the way for them to be gang-raped.",0,265.00,0,0,"Kavanaugh, Julie Swetnick",,,1.00,0.09,0.32,43.74,0.00
2106,battens down the hatches ,1,25.00,0,0,,,,1.00,-0.16,0.29,50.50,0.00
2107,Only the headlines.,0,19.00,0,0,,,,2.00,0.00,1.00,59.97,0.00
2108,They don’t care about the victims they create.,0,46.00,0,0,,,,1.00,0.00,0.00,88.74,0.00
2109,Only the seriousness and luridness of the charges matter as they get aired over and over again in the 24-hour news cycle.,0,121.00,0,0,,,,1.00,0.05,0.85,74.53,0.00
2110,Whether the claims are true is irrelevant to these people.,0,58.00,0,0,,,,1.00,-0.08,0.82,78.25,0.00
2111,character-assassination ,1,24.00,0,0,,,,2.00,0.00,0.00,-470.99,0.00
2112,have materialized out of thin air ,1,34.00,0,0,,,,2.00,-0.40,0.85,48.47,0.00
2113,Avenatti’s Freak Show,1,21.00,0,0,Avenatti,,,2.00,0.00,0.00,59.97,0.00
2114,shoot the alligator,1,19.00,0,0,,,,2.00,0.00,0.00,34.59,0.00
2115,they will demonize ,1,19.00,0,0,,,,2.00,0.00,0.00,34.59,0.00
2116,stop feeding the alligator in the hopes that you will be eaten last,1,67.00,0,0,,,,2.00,0.00,0.07,75.20,0.00
2117,the Dems,1,8.00,0,0,,,,2.00,0.00,0.00,120.21,0.00
2118,"Make Senators go on the record with their votes, and hold them to account in November.",0,86.00,0,0,,,,2.00,0.00,0.00,80.62,0.00
2119,"Hold the vote no later than Thursday, or Friday if Ford does show up.",0,69.00,0,0,,Ford,,1.00,0.00,0.00,91.11,0.00
2120,Don’t give Ramirez the time of day.,0,35.00,0,0,Ramirez,,,1.00,0.00,0.00,115.13,0.00
2121,No more ,1,8.00,0,0,,,,2.00,-0.25,0.50,77.91,0.00
2122,No more delays.,0,15.00,0,0,,,,2.00,-0.25,0.50,93.81,0.00
2123,No more concessions.,0,20.00,0,0,,,,2.00,-0.25,0.50,59.97,0.00
2124,farce ,1,6.00,0,0,,,,1.00,-0.40,0.50,36.62,0.00
