,sentence,span,propaganda
4504,"A complaint says unfired armor-piercing bullets found inside the Las Vegas hotel room where the attack was launched on Oct. 1 contained the fingerprints of ammunition dealer Douglas Haig of Arizona.
","A complaint says unfired armor-piercing bullets found inside the Las Vegas hotel room where the attack was launched on Oct. 1 contained the fingerprints of ammunition dealer Douglas Haig of Arizona.
",0
4505,"The complaint filed Friday in federal court in Phoenix says Haig didn't have a license to manufacture armor-piercing ammunition.
","The complaint filed Friday in federal court in Phoenix says Haig didn't have a license to manufacture armor-piercing ammunition.
",0
4506,"He was charged shortly before holding a news conference Friday.
","He was charged shortly before holding a news conference Friday.
",0
4507,"He said he noticed nothing suspicious when he sold 720 rounds of ammunition to Stephen Paddock in the weeks before the attack that killed 58 people.
","He said he noticed nothing suspicious when he sold 720 rounds of ammunition to Stephen Paddock in the weeks before the attack that killed 58 people.
",0
4508,"Haig is a 55-year-old aerospace engineer who sold ammunition as a hobby for about 25 years.
","Haig is a 55-year-old aerospace engineer who sold ammunition as a hobby for about 25 years.
",0
4509,"Pope Francis: Ross Douthat & Massimo Faggioli Debate Catholic Church’s Future
","Pope Francis: Ross Douthat & Massimo Faggioli Debate Catholic Church’s Future
",0
4510,"Pope Francis visits Genoa, Italy, in May 2017.
","Pope Francis visits Genoa, Italy, in May 2017.
",0
4511,"(Reuters photo: Giorgio Perottino)
","(Reuters photo: Giorgio Perottino)
",0
4512,"In a debate, Ross Douthat and Massimo Faggioli discussed Pope Francis’s legacy and its effect on internal Church controversies.
","In a debate, Ross Douthat and Massimo Faggioli discussed Pope Francis’s legacy and its effect on internal Church controversies.
",0
4513,"On Wednesday night, New York Times columnist Ross Douthat and Villanova professor of theology Massimo Faggioli came together for a debate entitled “Francis @ Five: Assessing the Legacy of Pope Francis Five Years after His Election.” As I made my way up to Fordham University, I was excited.
","On Wednesday night, New York Times columnist Ross Douthat and Villanova professor of theology Massimo Faggioli came together for a debate entitled “Francis @ Five: Assessing the Legacy of Pope Francis Five Years after His Election.” As I made my way up to Fordham University, I was excited.
",0
4514,"Having followed Douthat and Faggioli’s ongoing dialogue on Twitter, I knew I was in for a lively, if predictable, conversation.
","Having followed Douthat and Faggioli’s ongoing dialogue on Twitter, I knew I was in for a lively, if predictable, conversation.
",0
4515,"In his opening remarks, Douthat laid out three criteria that can be used to evaluate Francis’s papacy thus far: his impact on the public’s perception of the Church (a success); his attempts at reforming the Vatican bureaucracy (a disappointment); and his position on “moral-theological controversies,” specifically, communion for the divorced and remarried (a problem).
","In his opening remarks, Douthat laid out three criteria that can be used to evaluate Francis’s papacy thus far: his impact on the public’s perception of the Church (a success); his attempts at reforming the Vatican bureaucracy (a disappointment); and his position on “moral-theological controversies,” specifically, communion for the divorced and remarried (a problem).
",0
4516,"Advertisement
","Advertisement
",0
4517,"Advertisement
","Advertisement
",0
4518,"Faggioli, meanwhile, outlined a genuinely surprising position.
",a genuinely surprising position.,1
4519,"Rather than making a straightforward case for why Pope Francis has changed the Church for the better, Faggioli rejected the possibility of evaluating his papacy in terms of “continuity” with past popes, since doing so would assume that “Christianity at some point .
","Rather than making a straightforward case for why Pope Francis has changed the Church for the better, Faggioli rejected the possibility of evaluating his papacy in terms of “continuity” with past popes, since doing so would assume that “Christianity at some point .
",0
4520,".
",".
",0
4521,".
",".
",0
4522,"was complete,” which Faggioli does not think is true.
","was complete,” which Faggioli does not think is true.
",0
4523,"While I emphatically disagree with this argument, I have to hand it to Faggioli: From the outset, he made clear that he was not planning to debate Douthat on the implications of the Francis papacy.
","While I emphatically disagree with this argument, I have to hand it to Faggioli: From the outset, he made clear that he was not planning to debate Douthat on the implications of the Francis papacy.
",0
4524,"Instead, through a combination of rhetorical tricks and soft-peddled Hegelianism, he would completely redefine the role and nature of the Catholic Church.
","a combination of rhetorical tricks and soft-peddled Hegelianism,",1
4525,"During the crux of the debate — the discussion of communion for the divorced and remarried — Faggioli raised his most theologically unsettling point.
",his most theologically unsettling point.,1
4526,"To defend his position that remarried persons should be able to receive communion, Faggioli invoked the case of Germany, where 50 percent of Catholic marriages end in divorce.
","To defend his position that remarried persons should be able to receive communion, Faggioli invoked the case of Germany, where 50 percent of Catholic marriages end in divorce.
",0
4527,"For Faggioli, the implication is that at least 50 percent of German Catholic children never see their parents receive communion and lose their faith because of it.
","For Faggioli, the implication is that at least 50 percent of German Catholic children never see their parents receive communion and lose their faith because of it",1
4528,"This, he says, is “bad for evangelization,” and in order to keep the pews full, the Church’s role should not be to deny communion to the divorced and remarried, but instead to ask, “What can the Catholic Church do to make the faithful able to receive sacraments?”
","bad for evangelization,”",1
4529,"Advertisement
","Advertisement
",0
4530,"This is a lovely suggestion, and one that I’m not entirely unsympathetic to.
","a lovely suggestion,",1
4531,"However, the fact remains that Faggioli is suggesting the Church do much more than provide sacraments to the faithful.
","However, the fact remains that Faggioli is suggesting the Church do much more than provide sacraments to the faithful.
",0
4532,"Just before invoking the German case, Faggioli characterized the country as one of the most secular in the world.
","Just before invoking the German case, Faggioli characterized the country as one of the most secular in the world.
",0
4533,"But rather than lamenting what secularism has wrought on marital life in Germany, reasserting the Church’s position on marriage, and insisting that the faithful strive to live according to her laws, Faggioli argues that the Church ought to bend to the will of secular society.
","But rather than lamenting what secularism has wrought on marital life in Germany, reasserting the Church’s position on marriage, and insisting that the faithful strive to live according to her laws, Faggioli argues that the Church ought to bend to the will of secular society.
",0
4534,"Advertisement
","Advertisement
",0
4535,"It should be clear to anyone, not just practicing Catholics, that this is absurd.
","It should be clear to anyone, not just practicing Catholics, that this is absurd.
",0
4536,"If the Church exists simply to accommodate the whims and failures of secular modernity, then what is the point of the Church?
","If the Church exists simply to accommodate the whims and failures of secular modernity, then what is the point of the Church?
",0
4537,"Pope Benedict XVI has warned against precisely the kind of “accommodation” Faggioli is calling for, writing that when “the people cannot cope” with God, they “bring him down into their own world,” and insist that “he must be the kind of God that [they need].” In other words, “Man is using God, and, in reality, even if it is not outwardly discernible, he is placing himself above God.” To fully drive the point home, Benedict equates this kind of worship with the Israelites desert worship of the bull calf.
","Pope Benedict XVI has warned against precisely the kind of “accommodation” Faggioli is calling for, writing that when “the people cannot cope” with God, they “bring him down into their own world,” and insist that “he must be the kind of God that [they need].” In other words, “Man is using God, and, in reality, even if it is not outwardly discernible, he is placing himself above God.” To fully drive the point home, Benedict equates this kind of worship with the Israelites desert worship of the bull calf.
",0
4538,"Unsurprisingly, this progressive interpretation of Catholic doctrine eventually reveals itself to be rank historicism.
",rank historicism.,1
4539,"Throughout the debate, Faggioli drew out the argument that allowing the remarried to receive communion would not represent a radical change in doctrine but a return to the teachings of the Gospel.
","Throughout the debate, Faggioli drew out the argument that allowing the remarried to receive communion would not represent a radical change in doctrine but a return to the teachings of the Gospel.
",0
4540,"Eventually, Douthat drew his argument to its logical conclusion with this question: Were priests throughout history in fact misleading their divorced and remarried parishioners by telling them they could not receive communion?
",Were priests throughout history in fact misleading their divorced and remarried parishioners by telling them they could not receive communion,1
4541,"After a few seconds’ pause, Faggioli gave the only answer he could: “There are different responses to the same question in different times.”
","After a few seconds’ pause, Faggioli gave the only answer he could: “There are different responses to the same question in different times.”
",0
4542,"Advertisement
","Advertisement
",0
4543,"Throughout their conversation, both Douthat and Faggioli repeatedly observed that the debate over Pope Francis and the future of the Church is carried on primarily among Catholic intellectuals, unbeknownst to most of “the flock.”
","Throughout their conversation, both Douthat and Faggioli repeatedly observed that the debate over Pope Francis and the future of the Church is carried on primarily among Catholic intellectuals, unbeknownst to most of “the flock.”
",0
4544,"Advertisement
","Advertisement
",0
4545,"It strikes me, however, that everybody — Catholic or not — has a dog in this fight, which is about more than communion and canon law.
","has a dog in this fight,",1
4546,"At its core, this debate is about truth and our ability to judge right from wrong.
","At its core, this debate is about truth and our ability to judge right from wrong.
",0
4547,"Could we possibly say, for instance, that it’s impossible to judge the presidency of Donald Trump relative to past presidents?
","Could we possibly say, for instance, that it’s impossible to judge the presidency of Donald Trump relative to past presidents",1
4548,"Of course not — that would be preposterous, as I’m sure Faggioli would agree.
","Of course not — that would be preposterous, as I’m sure Faggioli would agree.
",0
4549,"To pass moral judgements on papacies, presidencies, or anything else, we must have recourse to truth, and to the institutions that have upheld this truth for centuries.
","To pass moral judgements on papacies, presidencies, or anything else, we must have recourse to truth, and to the institutions that have upheld this truth for centuries.
",0
4550,"Whether in the Church or in the academy, we must resist this dangerous historicist impulse.
","Whether in the Church or in the academy, we must resist this dangerous historicist impulse.
",0
4551,"If we don’t, we will find ourselves, in the words of Pope Benedict, in “a dictatorship of relativism that does not recognize anything as definitive and whose ultimate goal consists solely of one’s own ego and desires.”
","If we don’t, we will find ourselves, in the words of Pope Benedict, in “a dictatorship of relativism that does not recognize anything as definitive and whose ultimate goal consists solely of one’s own ego and desires",1
4552,"Advertisement
","Advertisement
",0
4553,"READ MORE:
","READ MORE:
",0
4554,"A Defense of the Catholic Tradition
","A Defense of the Catholic Tradition
",0
4555,"The Left’s New Plan to Gut Religious-Liberty Protections
","The Left’s New Plan to Gut Religious-Liberty Protections
",0
4556,"What’s At Stake in the Fight For Religious Freedom
","What’s At Stake in the Fight For Religious Freedom
",0
4557,"Illegal alien wanted for attempted murder in NC arrested at US-Mexico border
","Illegal alien wanted for attempted murder in NC arrested at US-Mexico border
",0
4558,"TUCSON, Ariz. – While patrolling east of Nogales, Border Patrol agents assigned to the Nogales Station arrested Francisco Lopez-Loyola, a 38-year-old Mexican national for being illegally present in the United States Thursday.
","TUCSON, Ariz. – While patrolling east of Nogales, Border Patrol agents assigned to the Nogales Station arrested Francisco Lopez-Loyola, a 38-year-old Mexican national for being illegally present in the United States Thursday.
",0
4559,"During processing, a records check indicated Lopez had an extraditable warrant from Catawba County, North Carolina for attempted first degree murder.
","During processing, a records check indicated Lopez had an extraditable warrant from Catawba County, North Carolina for attempted first degree murder.
",0
4560,"He was processed for immigration violations and turned over to Santa Cruz County Sheriff’s Office for extradition to North Carolina.
","He was processed for immigration violations and turned over to Santa Cruz County Sheriff’s Office for extradition to North Carolina.
",0
4561,"All persons apprehended by the Border Patrol undergo criminal history checks using biometrics to ensure illegal immigrants with criminal histories are positively identified.
","All persons apprehended by the Border Patrol undergo criminal history checks using biometrics to ensure illegal immigrants with criminal histories are positively identified.
",0
4562,"Anti-Gay Imam Featured Yet Again at Florida Democrat Gala
",Anti-Gay,1
4563,"The Democratic Party promotes itself as an advocacy group for all matters concerning homosexuals and labels politicians, who take stances opposite theirs on politically charged issues such as same-sex marriage, as bigots.
","The Democratic Party promotes itself as an advocacy group for all matters concerning homosexuals and labels politicians, who take stances opposite theirs on politically charged issues such as same-sex marriage, as bigots.
",0
4564,"Yet, the party keeps on inviting an imam, who has a long record of hostility toward homosexuals, to participate at its annual functions.
","Yet, the party keeps on inviting an imam, who has a long record of hostility toward homosexuals, to participate at its annual functions.
",0
4565,"This blatant hypocrisy shows the political bankruptcy of their leadership’s claims to be pro-gay and anti-bigotry and reveals their intention to pander to those in the Muslim community who spew intolerance and would wish others harm.
",blatant hypocrisy,1
4566,"On Saturday, October 7, 2017, the Palm Beach Democratic Party held its 2017 Truman Kennedy Johnson (TKJ) Dinner at the West Palm Beach Marriott Hotel, in West Palm Beach, Florida.
","On Saturday, October 7, 2017, the Palm Beach Democratic Party held its 2017 Truman Kennedy Johnson (TKJ) Dinner at the West Palm Beach Marriott Hotel, in West Palm Beach, Florida.
",0
4567,"The Keynote Speaker at the event was Governor of Virginia Terry McAuliffe.
","The Keynote Speaker at the event was Governor of Virginia Terry McAuliffe.
",0
4568,"Other speakers included: United States Representative Alcee Hastings; then-Florida Democratic Party Chairman Stephen Bittel, who resigned in November over allegations of sexually inappropriate behavior; and then-Palm Beach County Party Chairwoman Terrie Rizzo, who was elected in December to take over for Bittel as Chair of the Florida Democratic Party.
","Other speakers included: United States Representative Alcee Hastings; then-Florida Democratic Party Chairman Stephen Bittel, who resigned in November over allegations of sexually inappropriate behavior; and then-Palm Beach County Party Chairwoman Terrie Rizzo, who was elected in December to take over for Bittel as Chair of the Florida Democratic Party.
",0
4569,"Prior to the speakers, there was a joint invocation performed by a rabbi, two pastors and an imam.
","Prior to the speakers, there was a joint invocation performed by a rabbi, two pastors and an imam.
",0
4570,"The imam, Maulana Shafayat Mohamed, is notorious for his unapologetic vilification of homosexuals.
","The imam, Maulana Shafayat Mohamed, is notorious for his unapologetic vilification of homosexuals.
",0
4571,"Shafayat Mohamed is the imam of the Darul Uloom Institute, located in Pembroke Pines, Florida.
","Shafayat Mohamed is the imam of the Darul Uloom Institute, located in Pembroke Pines, Florida.
",0
4572,"The mosque has been a haven for terror-related individuals and activity.
","The mosque has been a haven for terror-related individuals and activity.
",0
4573,"“Dirty Bomber” Jose Padilla was a student of Shafayat Mohamed’s at Darul Uloom.
",“Dirty Bomber”,1
4574,"Now-deceased al-Qaeda Global Operations Chief, Adnan el-Shukrijumah, was a prayer leader at Darul Uloom.
","Now-deceased al-Qaeda Global Operations Chief, Adnan el-Shukrijumah, was a prayer leader at Darul Uloom.
",0
4575,"And Darul Uloom Arabic teacher Imran Mandhai, along with mosque goers Hakki Aksoy and Shueyb Mossa Jokhan, hatched a plot at the mosque to blow up different South Florida structures, including area power stations, Jewish businesses, and a National Guard armory.
","And Darul Uloom Arabic teacher Imran Mandhai, along with mosque goers Hakki Aksoy and Shueyb Mossa Jokhan, hatched a plot at the mosque to blow up different South Florida structures, including area power stations, Jewish businesses, and a National Guard armory.
",0
4576,"While terrorism plays a huge role in his mosque’s history – and he has been around for all of it – Shafayat Mohamed’s personal history deals much more in bigotry than terror.
","While terrorism plays a huge role in his mosque’s history – and he has been around for all of it – Shafayat Mohamed’s personal history deals much more in bigotry than terror.
",0
4577,"One stop on Shafayat Mohamed’s Facebook page and one can view his profile photo of him holding a dark green book with gold border and letters on the cover.
","One stop on Shafayat Mohamed’s Facebook page and one can view his profile photo of him holding a dark green book with gold border and letters on the cover.
",0
4578,"The book is “The Meaning of THE HOLY QUR’AN,” a version of the Quran that was banned by the Los Angeles public school system, in February 2002, for containing numerous anti-Semitic commentaries.
","The book is “The Meaning of THE HOLY QUR’AN,” a version of the Quran that was banned by the Los Angeles public school system, in February 2002, for containing numerous anti-Semitic commentaries.
",0
4579,"In it, Jews are described as: “arrogant,” “jealous,” “selfish,” “spiteful,” “greedy,” “cursed,” “apes and swine,” and “under divine displeasure.”
",arrogant,1
4580,"This may seem an innocent mistake on the imam’s part, but his actions against the gay community and sinister views are anything but.
","This may seem an innocent mistake on the imam’s part, but his actions against the gay community and sinister views are anything but.
",0
4581,"In February 2005, an article written by Shafayat Mohamed was published on the Darul Uloom website, entitled ‘Tsunami: Wrath of God.’ In it, he claims that gay sex caused the 2004 Indonesian tsunami and that most Jews and Christians, whom he refers to as “People of the Book,” are “perverted transgressors.”
",perverted transgressors,1
4582,"It is writings such as these that have gotten Shafayat Mohamed thrown off a number of Broward County boards.
","It is writings such as these that have gotten Shafayat Mohamed thrown off a number of Broward County boards.
",0
4583,"Even so, the imam has been unrepentant.
","Even so, the imam has been unrepentant.
",0
4584,"In a speech he gave at Darul Uloom, in August 2015, titled ‘Quraan Torah Bible Forbid Man Marrying Man,’ he admitted that he “got sacked from many [county] boards, because there were a lot of gay people who said, ‘We don’t want him on that board.’” He said he had a choice, to “sit in Paradise or… sit on the board and go to Hell.”
","In a speech he gave at Darul Uloom, in August 2015, titled ‘Quraan Torah Bible Forbid Man Marrying Man,’ he admitted that he “got sacked from many [county] boards, because there were a lot of gay people who said, ‘We don’t want him on that board.’” He said he had a choice, to “sit in Paradise or… sit on the board and go to Hell.”
",0
4585,"He began his speech by attacking President Barack Obama for supporting same-sex marriage.
","He began his speech by attacking President Barack Obama for supporting same-sex marriage.
",0
4586,"He asked the following, “Did you hear what President Obama said?… Do you know what a sad situation we are in this country?...
","He asked the following, “Did you hear what President Obama said?… Do you know what a sad situation we are in this country?...
",0
4587,"Here you have the President of the United States of America saying that a man could marry a man?… Are we sleeping?
","Here you have the President of the United States of America saying that a man could marry a man?… Are we sleeping?
",0
4588,"Do you believe in the Quran?
","Do you believe in the Quran?
",0
4589,"Are we gonna sit and have the Quran be ridiculed?” He then cited the Christian and Jewish Bible, barking loudly, “The Bible says that if a man sleeps with a man, he should be killed!”
",barking,1
4590,"Shafayat Mohamed later lamented the existence of Muslim homosexuals.
","Shafayat Mohamed later lamented the existence of Muslim homosexuals.
",0
4591,"He decried, “Listen.
","He decried, “Listen.
",0
4592,"Don’t deny it.
","Don’t deny it.
",0
4593,"They already got Muslim gay communities.” He as well spoke of his support for polygamy, an act that is illegal in the United States.
","They already got Muslim gay communities.” He as well spoke of his support for polygamy, an act that is illegal in the United States.
",0
4594,"He exclaimed, “Here the President says a man can marry a man, but you can’t say a man can have four wives…!”
","He exclaimed, “Here the President says a man can marry a man, but you can’t say a man can have four wives…!”
",0
4595,"The October TKJ Dinner was not the first Democrat event Shafayat Mohamed has participated in.
","The October TKJ Dinner was not the first Democrat event Shafayat Mohamed has participated in.
",0
4596,"In fact, he has been involved in many, including giving the invocations at the Florida Democratic Party’s annual Leadership Blue Gala in 2014 (featuring Bill Clinton), 2015 and 2016.
","In fact, he has been involved in many, including giving the invocations at the Florida Democratic Party’s annual Leadership Blue Gala in 2014 (featuring Bill Clinton), 2015 and 2016.
",0
4597,"And given that this author has written about this before, the October event will probably not be the last occasion that he is embraced by the Democratic Party.
","And given that this author has written about this before, the October event will probably not be the last occasion that he is embraced by the Democratic Party.
",0
4598,"Shafayat Mohamed is not the only Muslim extremist that has participated in the Democratic Party’s TKJ Dinner.
","Shafayat Mohamed is not the only Muslim extremist that has participated in the Democratic Party’s TKJ Dinner.
",0
4599,"In October 2015, the dinner invocation was performed by Wilfredo Amr Ruiz, the legal adviser of the American Muslim Association of North America (AMANA), a group that actively promotes former KKK leader and white supremacist David Duke.
",white supremacist,1
4600,"Ruiz, as well, founded AMANA’s Connecticut and Puerto Rico chapters.
","Ruiz, as well, founded AMANA’s Connecticut and Puerto Rico chapters.
",0
4601,"In July 2010, the Anti-Defamation League (ADL) condemned Ruiz’s AMANA for posting what the ADL called a “venomous” anti-Semitic Duke video onto the group’s official website.
",venomous,1
4602,"AMANA is currently promoting another anti-Semitic Duke-produced video, on the AMANA site.
","AMANA is currently promoting another anti-Semitic Duke-produced video, on the AMANA site.
",0
4603,"The President of AMANA, Sofian Zakkout, has referred to Duke as “David Duke, a man to believe in!”
",a man to believe in!”,1
4604,"By inviting people like Shafayat Mohamed, an avowed enemy of the gay community, and Wilfredo Ruiz, whose group promotes white supremacists, to participate in its functions, the Democratic Party has effectively revealed its disregard for the concerns of those it disingenuously claims to advocate for and protect.
","By inviting people like Shafayat Mohamed, an avowed enemy of the gay community, and Wilfredo Ruiz, whose group promotes white supremacists, to participate in its functions, the Democratic Party has effectively revealed its disregard for the concerns of those it disingenuously claims to advocate for and protect.
",0
4605,"It is time for Democrats to reject the bigotry of these radicals and see them for the liability they present.
","It is time for Democrats to reject the bigotry of these radicals and see them for the liability they present.
",0
4606,"Failure to do so exposes the party’s liberal agenda as a sham.
",Failure to do so exposes the party’s liberal agenda as a sham,1
4607,"Beila Rabinowitz, Director of Militant Islam Monitor, contributed to this report.
","Beila Rabinowitz, Director of Militant Islam Monitor, contributed to this report.
",0
4608,"Chile 'cover-up' letter contradicts Pope
","Chile 'cover-up' letter contradicts Pope
",0
4609,"© EPA Pope Francis's trip to Chile and Peru was overshadowed by he row
","© EPA Pope Francis's trip to Chile and Peru was overshadowed by he row
",0
4610,"A victim of a paedophile priest in Chile has revealed he wrote to the Pope in 2015 about an alleged cover-up after Francis denied getting evidence.
",a paedophile priest,1
4611,"Juan Carlos Cruz, a victim of cleric Fernando Karadima in the 1980s, accused fellow priest Juan Barros of witnessing the abuse and doing nothing.
","Juan Carlos Cruz, a victim of cleric Fernando Karadima in the 1980s, accused fellow priest Juan Barros of witnessing the abuse and doing nothing.
",0
4612,"The Pope caused outrage after a visit to Chile last month by defending Bishop Barros, who was made a bishop in 2015.
","The Pope caused outrage after a visit to Chile last month by defending Bishop Barros, who was made a bishop in 2015.
",0
4613,"The Vatican refused to comment on the letter when approached by BBC News.
","The Vatican refused to comment on the letter when approached by BBC News.
",0
4614,"Pope Francis has said in the past that dealing with abuse is vital for the Church's credibility and perpetrators must face ""sanctions"".
","Pope Francis has said in the past that dealing with abuse is vital for the Church's credibility and perpetrators must face ""sanctions"".
",0
4615,"What allegations does the letter make?
","What allegations does the letter make?
",0
4616,"Mr Cruz sent the text of his letter (written in Spanish) to BBC News, showing it was addressed personally to Pope Francis and dated 3 March 2015.
","Mr Cruz sent the text of his letter (written in Spanish) to BBC News, showing it was addressed personally to Pope Francis and dated 3 March 2015.
",0
4617,"That was more than two weeks before the bishop's ordination in the south Chilean city of Osorno, an event dramatically disrupted by hundreds of protesters accusing Bishop Barros of covering up Karadima's sex attacks on young boys.
",dramatically disrupted,1
4618,"The bishop has denied ever knowing about ""the serious abuses"" committed by Karadima, who was never prosecuted in Chile because so much time had passed but was convicted and sentenced by the Vatican to a lifetime of ""penance and prayer"".
","The bishop has denied ever knowing about ""the serious abuses"" committed by Karadima, who was never prosecuted in Chile because so much time had passed but was convicted and sentenced by the Vatican to a lifetime of ""penance and prayer"".
",0
4619,"""Holy Father, I decided to write this letter to you because I'm tired of fighting, crying and suffering,"" Mr Cruz writes.
","tired of fighting, crying and suffering,""",1
4620,"© AFP Cardinal O'Malley (centre) accompanied the Pope in Latin America
","© AFP Cardinal O'Malley (centre) accompanied the Pope in Latin America
",0
4621,"""Our story is well known and there's no point reminding you of it, except to tell you of the horror of having experienced this abuse and how I wanted to kill myself.""
",horror of having experienced this abuse and how I wanted to kill myself,1
4622,"In his letter, he also attaches the full text of a previous letter written a month earlier to the Vatican's top diplomat in Chile, Archbishop Ivo Scapolo.
","In his letter, he also attaches the full text of a previous letter written a month earlier to the Vatican's top diplomat in Chile, Archbishop Ivo Scapolo.
",0
4623,"In that letter, Mr Cruz accuses Bishop Barros of ""doing all the dirty work of Fernando Karadima"", and describes the abuse he suffered and which Bishop Barros allegedly witnessed.
",doing all the dirty work,1
4624,"""When we were in a room with Karadima and Juan Barros, if he [Barros] wasn't kissing Karadima, he watched as one of us, the youngest, was touched by Karadima and forced to give him kisses,"" he writes.
","""When we were in a room with Karadima and Juan Barros, if he [Barros] wasn't kissing Karadima, he watched as one of us, the youngest, was touched by Karadima and forced to give him kisses,"" he writes.
",0
4625,"""Karadima would say to me: 'Put your mouth next to mine and stick out your tongue.'
","""Karadima would say to me: 'Put your mouth next to mine and stick out your tongue.'
",0
4626,"He'd stick out his and kiss us with his tongue.
","He'd stick out his and kiss us with his tongue.
",0
4627,"Juan Barros witnessed all of this on countless occasions, not just in my case but in the case of others as well.""
","Juan Barros witnessed all of this on countless occasions, not just in my case but in the case of others as well.""
",0
4628,"Addressing himself to Pope Francis, Mr Cruz says: ""Holy Father, Juan Barros says he saw nothing and yet, there are dozens of us who can testify to the fact that not only was he present when Karadima abused us, but that he, too, kissed Karadima and they touched each other.""
","Addressing himself to Pope Francis, Mr Cruz says: ""Holy Father, Juan Barros says he saw nothing and yet, there are dozens of us who can testify to the fact that not only was he present when Karadima abused us, but that he, too, kissed Karadima and they touched each other.""
",0
4629,"He concludes the letter with this appeal: ""Please Holy Father, don't be like the others.
",don't be like the others.,1
4630,"There are so many of us who despite everything think that you can do something.
","There are so many of us who despite everything think that you can do something.
",0
4631,"I treasure my faith, it's what sustains me, but it is slipping away from me.""
","I treasure my faith, it's what sustains me, but it is slipping away from me.""
",0
4632,"Hasn't the Pope already apologised?
","Hasn't the Pope already apologised?
",0
4633,"© AFP Karadima was only punished by the Vatican
","© AFP Karadima was only punished by the Vatican
",0
4634,"The remarks that the Pope had made in January that caused such offence were: ""The day they bring me proof against Bishop Barros, then I will speak.
","The remarks that the Pope had made in January that caused such offence were: ""The day they bring me proof against Bishop Barros, then I will speak.
",0
4635,"There is not a single piece of proof against him.
","There is not a single piece of proof against him.
",0
4636,"Everything is slander.
","Everything is slander.
",0
4637,"Is this clear?""
","Is this clear?""
",0
4638,"The Pope later apologised for hurting victims' feelings ""without meaning to"" but continued to insist there was ""no evidence"" against the bishop.
","The Pope later apologised for hurting victims' feelings ""without meaning to"" but continued to insist there was ""no evidence"" against the bishop.
",0
4639,"""In Barros's case, it was studied,"" he said.
","""In Barros's case, it was studied,"" he said.
",0
4640,"""It was restudied.
","""It was restudied.
",0
4641,"And there is no evidence...
","And there is no evidence...
",0
4642,"I don't have evidence to convict.""
","I don't have evidence to convict.""
",0
4643,"How far did the letter get?
","How far did the letter get?
",0
4644,"© Reuters Bishop Barros (centre) was greeted by angry protesters at his ordination
","© Reuters Bishop Barros (centre) was greeted by angry protesters at his ordination
",0
4645,"Members of the Pope's own Commission for the Protection of Minors, set up in 2014 as part of efforts to counter sex abuse by clergy, have told the Associated Press they hand-delivered the letter to Francis's top adviser on sex abuse, Cardinal Sean O'Malley, in April 2015.
","Members of the Pope's own Commission for the Protection of Minors, set up in 2014 as part of efforts to counter sex abuse by clergy, have told the Associated Press they hand-delivered the letter to Francis's top adviser on sex abuse, Cardinal Sean O'Malley, in April 2015.
",0
4646,"A photo in the AP report shows Marie Collins, a member of the commission at the time, handing the letter to the cardinal.
","A photo in the AP report shows Marie Collins, a member of the commission at the time, handing the letter to the cardinal.
",0
4647,"""When we gave him the letter for the Pope, he assured us he would give it to the Pope and speak of the concerns,"" she told AP.
","""When we gave him the letter for the Pope, he assured us he would give it to the Pope and speak of the concerns,"" she told AP.
",0
4648,"""And at a later date, he assured us that that had been done.""
","""And at a later date, he assured us that that had been done.""
",0
4649,"Mr Cruz told the BBC that Cardinal O'Malley had called him later in 2015 to say he had given the letter to the Pope.
","Mr Cruz told the BBC that Cardinal O'Malley had called him later in 2015 to say he had given the letter to the Pope.
",0
4650,"Cardinal O'Malley, whose spokesman referred requests for comment to the Vatican, has earned respect for his work in tackling sex abuse by clergy in Boston.
","Cardinal O'Malley, whose spokesman referred requests for comment to the Vatican, has earned respect for his work in tackling sex abuse by clergy in Boston.
",0
4651,"Cardinal O'Malley's disgraced predecessor, the late Cardinal Bernard Law, had moved paedophile priests between parishes rather than addressing victims' claims.
","disgraced predecessor,",1
4652,"In an unusual step, Cardinal O'Malley openly criticised the Pope last month for his initial remarks in Chile, saying he had left victims feeling abandoned.
","In an unusual step, Cardinal O'Malley openly criticised the Pope last month for his initial remarks in Chile, saying he had left victims feeling abandoned.
",0
4653,"Pope Francis announced last week he was sending the Vatican's top expert on sexual abuse, Archbishop Charles Scicluna, to Chile to investigate the accusations against Bishop Barros.
","Pope Francis announced last week he was sending the Vatican's top expert on sexual abuse, Archbishop Charles Scicluna, to Chile to investigate the accusations against Bishop Barros.
",0
4654,"Tenth bishop signs ‘Profession of Immutable Truths’ in defense of marriage
","Tenth bishop signs ‘Profession of Immutable Truths’ in defense of marriage
",0
4655,"NewsCatholic Church, Family, Marriage
","NewsCatholic Church, Family, Marriage
",0
4656,"ROME, February 6, 2018 (LifeSiteNews) – His Excellency Elmar Fischer, bishop emeritus of Feldkirch, Austria, has signed the “Profession of Immutable Truths about Sacramental Marriage,” LifeSiteNews confirmed on Monday.
","ROME, February 6, 2018 (LifeSiteNews) – His Excellency Elmar Fischer, bishop emeritus of Feldkirch, Austria, has signed the “Profession of Immutable Truths about Sacramental Marriage,” LifeSiteNews confirmed on Monday.
",0
4657,"Bishop Fischer is the tenth prelate to sign the profession.
","Bishop Fischer is the tenth prelate to sign the profession.
",0
